theta,m,t,delta,set
0.36904265551980675,2,0.47962262560941876,1.0,train
0.06885008490516231,0,1.5107575524404395,0.0,train
0.0208516376390232,0,0.05564810341703552,0.0,train
0.2139969144033772,0,4.756777005245867,0.0,train
0.12944943670387588,1,0.08062711906738805,1.0,train
0.06885008490516231,0,5.383489387928005,0.0,train
0.12944943670387588,2,0.013249347610249774,1.0,train
0.0208516376390232,1,0.005861245935542396,1.0,train
0.12944943670387588,2,0.005914466059927321,1.0,train
0.06885008490516231,0,5.566738071181885,0.0,train
0.36904265551980675,2,0.31183475920032966,1.0,train
0.2139969144033772,0,0.46420898150539025,0.0,train
0.0208516376390232,0,2.0243829216100826,0.0,train
0.06885008490516231,1,0.38173937569551675,1.0,train
0.12944943670387588,0,2.71012787279511,0.0,train
0.12944943670387588,0,3.4299389414345764,0.0,train
0.36904265551980675,3,0.03186924469052244,1.0,train
0.0208516376390232,0,3.105126301066908,0.0,train
0.12944943670387588,1,0.3733876116487659,1.0,train
0.12944943670387588,1,4.132161646437795,0.0,train
0.12944943670387588,2,0.031005603887210072,1.0,train
0.2139969144033772,0,2.6105476875675615,0.0,train
0.36904265551980675,3,0.08776099200021936,0.0,train
0.0208516376390232,0,5.876167960949534,0.0,train
0.2139969144033772,0,0.5843828547100425,0.0,train
0.12944943670387588,1,0.5866611903682363,1.0,train
0.36904265551980675,1,1.121778272001161,1.0,train
0.2139969144033772,1,2.8441594930229317,1.0,train
0.36904265551980675,4,0.0765252152703005,1.0,train
0.0208516376390232,0,2.7746627830539516,0.0,train
0.0208516376390232,0,3.136673505477724,0.0,train
0.36904265551980675,3,0.04242925623852885,1.0,train
0.36904265551980675,2,0.12076482424293614,1.0,train
0.0208516376390232,0,1.1784395463474742,0.0,train
0.12944943670387588,3,0.049139765031858705,1.0,train
0.06885008490516231,0,1.4771556894000992,0.0,train
0.06885008490516231,2,0.23721423353659915,1.0,train
0.2139969144033772,1,0.6671771619742923,1.0,train
0.2139969144033772,1,1.024375073488195,1.0,train
0.2139969144033772,2,0.9527156580556315,1.0,train
0.0208516376390232,1,1.7694567981630331,1.0,train
0.0208516376390232,0,5.225253912878501,0.0,train
0.36904265551980675,3,0.4698931439458682,1.0,train
0.0208516376390232,0,3.003374959792889,0.0,train
0.06885008490516231,0,3.0426246203451925,0.0,train
0.12944943670387588,0,5.52726004807359,0.0,train
0.36904265551980675,3,0.00961772655755315,1.0,train
0.36904265551980675,1,0.37148571962233096,1.0,train
0.06885008490516231,0,4.77992460794359,0.0,train
0.36904265551980675,1,3.001186006052792,0.0,train
0.2139969144033772,0,5.878482543383873,0.0,train
0.06885008490516231,0,2.65902281998385,0.0,train
0.36904265551980675,3,0.2554363485725558,1.0,train
0.12944943670387588,0,1.3475124761850852,0.0,train
0.12944943670387588,1,0.16789117120842012,1.0,train
0.0208516376390232,0,3.4383707714753537,0.0,train
0.0208516376390232,0,0.43576339717029744,0.0,train
0.12944943670387588,1,0.5794812606225669,1.0,train
0.0208516376390232,0,1.6065697932923524,0.0,train
0.06885008490516231,0,3.7942857423766414,0.0,train
0.2139969144033772,3,0.06811767507482466,1.0,train
0.0208516376390232,0,2.167612405344562,0.0,train
0.2139969144033772,1,0.6497166135239303,1.0,train
0.12944943670387588,0,4.220881396732228,0.0,train
0.2139969144033772,1,1.3486507363752303,1.0,train
0.2139969144033772,0,3.205635176633116,0.0,train
0.36904265551980675,1,1.9212400115923927,1.0,train
0.2139969144033772,0,3.1760442278619174,0.0,train
0.0208516376390232,0,1.623374723574978,0.0,train
0.0208516376390232,0,3.8393917282315453,0.0,train
0.2139969144033772,0,1.8704913587575642,0.0,train
0.06885008490516231,0,2.440786214659667,0.0,train
0.36904265551980675,0,4.4485492325195635,0.0,train
0.0208516376390232,0,4.3254989525598475,0.0,train
0.06885008490516231,0,2.9102410199529114,0.0,train
0.06885008490516231,0,4.9551305456359875,0.0,train
0.36904265551980675,1,0.1597663541876126,1.0,train
0.2139969144033772,3,0.14173455726593556,1.0,train
0.06885008490516231,1,1.385239096268018,1.0,train
0.06885008490516231,0,3.139765270020062,0.0,train
0.2139969144033772,3,0.10038814421635696,1.0,train
0.06885008490516231,1,1.7492317647208726,1.0,train
0.06885008490516231,1,0.11192302168708004,1.0,train
0.2139969144033772,2,0.8570604931925334,1.0,train
0.06885008490516231,1,0.7367472076324493,0.0,train
0.12944943670387588,0,5.5773868232854396,0.0,train
0.06885008490516231,0,2.6423883429155524,0.0,train
0.12944943670387588,0,0.5297179664315468,0.0,train
0.0208516376390232,1,1.7375118281711144,0.0,train
0.36904265551980675,2,0.558475565987759,1.0,train
0.2139969144033772,1,1.279785395370304,0.0,train
0.0208516376390232,0,3.7666031269327163,0.0,train
0.12944943670387588,0,4.115823915844453,0.0,train
0.36904265551980675,1,0.4638795090303272,1.0,train
0.36904265551980675,1,0.13345889181416667,1.0,train
0.2139969144033772,1,0.3884374712256031,1.0,train
0.36904265551980675,2,0.46453531525934283,1.0,train
0.36904265551980675,1,1.6560064212779948,0.0,train
0.2139969144033772,1,2.050891169823741,0.0,train
0.0208516376390232,0,3.6656091974812437,0.0,train
0.12944943670387588,1,0.7596509810868817,1.0,train
0.2139969144033772,0,5.004925523407627,0.0,train
0.0208516376390232,0,1.1891038610353184,0.0,train
0.36904265551980675,0,2.533566085031899,0.0,train
0.06885008490516231,1,1.4147281870481883,1.0,train
0.2139969144033772,1,0.019715376290984965,0.0,train
0.2139969144033772,0,5.812671777904265,0.0,train
0.36904265551980675,1,0.9036443720996639,1.0,train
0.0208516376390232,0,4.057052647218636,0.0,train
0.0208516376390232,0,2.706721458047925,0.0,train
0.36904265551980675,0,0.3983713295164202,0.0,train
0.12944943670387588,0,2.210271022262023,0.0,train
0.36904265551980675,2,0.2752350175975801,1.0,train
0.2139969144033772,1,0.9169117715245274,1.0,train
0.0208516376390232,0,5.9670803265378485,0.0,train
0.0208516376390232,1,2.3528050958796296,1.0,train
0.36904265551980675,1,0.6400770038230931,1.0,train
0.36904265551980675,2,0.0290666157205242,1.0,train
0.0208516376390232,0,0.6573689431557765,0.0,train
0.36904265551980675,1,0.452414796161545,1.0,train
0.36904265551980675,2,0.009901604252853103,1.0,train
0.12944943670387588,2,0.6673518117821997,1.0,train
0.0208516376390232,0,5.5938995552536666,0.0,train
0.36904265551980675,3,0.03771346945601605,1.0,train
0.2139969144033772,0,3.0388991040550044,0.0,train
0.36904265551980675,2,0.3604178865725988,1.0,train
0.0208516376390232,0,0.059507258657009565,0.0,train
0.2139969144033772,1,1.3317089397715214,1.0,train
0.2139969144033772,1,0.9689327657379841,1.0,train
0.06885008490516231,0,5.5477500093946395,0.0,train
0.12944943670387588,1,1.7243698411002153,1.0,train
0.12944943670387588,2,0.19741622138265966,1.0,train
0.0208516376390232,0,5.2427671612333615,0.0,train
0.2139969144033772,1,0.019447988152607475,1.0,train
0.36904265551980675,1,0.09611761065551354,1.0,train
0.2139969144033772,1,0.3803036259238481,1.0,train
0.2139969144033772,2,0.7898562768454962,1.0,train
0.0208516376390232,0,1.3387203325215935,0.0,train
0.36904265551980675,2,0.029198426500389386,1.0,train
0.0208516376390232,0,3.6730354628074613,0.0,train
0.06885008490516231,0,3.2405076732004066,0.0,train
0.06885008490516231,1,1.454816402892005,0.0,train
0.36904265551980675,2,0.45241091210619455,1.0,train
0.06885008490516231,0,4.474096974168162,0.0,train
0.36904265551980675,0,0.41461843403394627,0.0,train
0.2139969144033772,1,0.7532168267398351,0.0,train
0.36904265551980675,1,0.07919042850681199,1.0,train
0.36904265551980675,3,0.10584806062164717,1.0,train
0.2139969144033772,2,0.4128792769314695,1.0,train
0.36904265551980675,0,0.20897709073575066,0.0,train
0.06885008490516231,1,0.7393693915403433,1.0,train
0.12944943670387588,1,1.5608254584707062,1.0,train
0.36904265551980675,1,1.2735191816391618,1.0,train
0.0208516376390232,0,3.7134728003941184,0.0,train
0.0208516376390232,0,1.8861620076353012,0.0,train
0.36904265551980675,3,0.1649472755328081,1.0,train
0.36904265551980675,2,0.22601395722841544,0.0,train
0.06885008490516231,0,4.531861082208239,0.0,train
0.2139969144033772,2,0.35652638440514767,1.0,train
0.36904265551980675,0,1.1738406696126789,0.0,train
0.0208516376390232,0,3.864728157217583,0.0,train
0.0208516376390232,0,5.22146355227997,0.0,train
0.12944943670387588,0,3.354798256046312,0.0,train
0.36904265551980675,3,0.215987154295602,0.0,train
0.2139969144033772,2,0.010191882091851137,1.0,train
0.06885008490516231,1,0.12069110311188908,1.0,train
0.2139969144033772,2,0.3125482355089761,1.0,train
0.0208516376390232,0,2.2702544188805303,0.0,train
0.0208516376390232,0,2.6826753991275325,0.0,train
0.12944943670387588,1,0.7359956570282147,0.0,train
0.06885008490516231,0,1.2388021996679273,0.0,train
0.2139969144033772,1,0.02207315854446324,1.0,train
0.12944943670387588,0,5.195934428447874,0.0,train
0.06885008490516231,0,5.2263457841264,0.0,train
