theta,m,t,delta,set
0.1931001671441963,0,2.703107652428889,0.0,train
0.9999545794446535,772,0.0015752993392512049,1.0,train
0.1931001671441963,0,5.788118540628524,0.0,train
0.9999545794446535,110,0.004113705198783822,1.0,train
0.9591177439037861,2,0.434189623779777,1.0,train
0.1931001671441963,0,1.0443862949367086,0.0,train
0.5330035777815809,2,0.02414396564748733,0.0,train
0.7968121300200199,0,5.633044151070738,0.0,train
0.7968121300200199,0,1.6440463927826516,0.0,train
0.9999545794446535,78,0.02209161348371311,1.0,train
0.7968121300200199,4,0.6836225509447694,1.0,train
0.1931001671441963,0,1.4846258191177002,0.0,train
0.9591177439037861,9,0.04550287748983732,1.0,train
0.7968121300200199,1,1.8624945051053725,1.0,train
0.5330035777815809,0,1.2309720083665352,0.0,train
0.9591177439037861,0,4.755580059954452,0.0,train
0.5330035777815809,0,4.190170106633646,0.0,train
0.9999545794446535,4213,0.0008027037206818269,1.0,train
0.5330035777815809,0,3.9630599867559377,0.0,train
0.9999545794446535,912,0.00012063761795858309,1.0,train
0.9591177439037861,0,5.777908599508038,0.0,train
0.9591177439037861,0,1.1330233682838797,0.0,train
0.7968121300200199,8,0.10433279832321558,1.0,train
0.9999545794446535,17,0.30613317821854624,1.0,train
0.9591177439037861,1,0.26422304251474305,1.0,train
0.7968121300200199,0,3.816133334407933,0.0,train
0.9999545794446535,0,0.5653752309076818,0.0,train
0.9999545794446535,3,0.16354709206620766,1.0,train
0.7968121300200199,0,1.3667722348633882,0.0,train
0.9999545794446535,953,0.000754735349333732,1.0,train
0.9999545794446535,2166,0.0007941595628107614,1.0,train
0.7968121300200199,0,2.657747078714575,0.0,train
0.1931001671441963,0,1.1243062333156664,0.0,train
0.9591177439037861,6,0.13272193603882448,1.0,train
0.7968121300200199,7,0.009125132406735141,1.0,train
0.9999545794446535,12,0.10965986166856592,1.0,train
0.7968121300200199,5,0.14481385845333836,1.0,train
0.1931001671441963,0,3.9434831228973386,0.0,train
0.9591177439037861,35,0.018218632405066396,1.0,train
0.5330035777815809,1,0.06876260848479908,1.0,train
0.7968121300200199,1,0.6111035825508954,1.0,train
0.7968121300200199,3,0.9820970636190353,1.0,train
0.9591177439037861,35,7.217491752898701e-05,1.0,train
0.9591177439037861,0,2.9334217276572945,0.0,train
0.1931001671441963,0,4.046027256164095,0.0,train
0.9591177439037861,5,0.13754734206541938,1.0,train
0.9591177439037861,3,1.4078563357913307,1.0,train
0.5330035777815809,0,1.6414898777829618,0.0,train
0.9591177439037861,6,0.15465307703341924,1.0,train
0.9999545794446535,2,0.3872294920854896,1.0,train
0.1931001671441963,0,1.278180529033588,0.0,train
0.7968121300200199,0,3.6313129975286813,0.0,train
0.7968121300200199,0,0.4545632659027532,0.0,train
0.7968121300200199,1,2.671628368807234,1.0,train
0.5330035777815809,0,3.487595001700556,0.0,train
0.9591177439037861,16,0.18459504621881104,1.0,train
0.7968121300200199,0,3.199790089323515,0.0,train
0.5330035777815809,0,0.45863806314,0.0,train
0.1931001671441963,0,1.069474617418393,0.0,train
0.5330035777815809,0,4.54784705690227,0.0,train
0.9999545794446535,0,3.2258176550318947,0.0,train
0.7968121300200199,0,2.1030501870077503,0.0,train
0.7968121300200199,3,0.21963639176601474,1.0,train
0.9999545794446535,654,0.009934707057132982,1.0,train
0.9999545794446535,19,0.02206169229233952,1.0,train
0.9591177439037861,1,0.7536471165954536,1.0,train
0.9999545794446535,38,0.012783106541115679,1.0,train
0.9999545794446535,76,0.01800934479142419,1.0,train
0.9591177439037861,0,4.401317034169935,0.0,train
0.5330035777815809,0,5.4563264642776925,0.0,train
0.5330035777815809,1,0.8899740731915219,1.0,train
0.7968121300200199,0,0.026733076015428292,0.0,train
0.9999545794446535,83,0.002462921748144829,1.0,train
0.7968121300200199,0,4.262911405175501,0.0,train
0.1931001671441963,0,2.191696562796969,0.0,train
0.9999545794446535,1513,0.0009256974679557817,1.0,train
0.1931001671441963,0,0.5094997496829394,0.0,train
0.1931001671441963,0,0.32898528053088083,0.0,train
0.9591177439037861,17,0.050169177776275935,1.0,train
0.9999545794446535,151,0.006094540396317335,1.0,train
0.9591177439037861,7,0.08802290521361264,1.0,train
0.9999545794446535,0,3.8694463629952702,0.0,train
0.1931001671441963,0,5.068536032411814,0.0,train
0.7968121300200199,1,0.09715018035143942,1.0,train
0.1931001671441963,0,4.213971180664002,0.0,train
0.9591177439037861,2,0.2826954829295383,1.0,train
0.7968121300200199,2,0.1333390560449713,1.0,train
0.5330035777815809,1,0.8412419131538893,1.0,train
0.1931001671441963,0,0.7242906257293984,0.0,train
0.7968121300200199,0,4.291593006723559,0.0,train
0.5330035777815809,1,0.15777841117400207,1.0,train
0.1931001671441963,0,2.600117237294458,0.0,train
0.7968121300200199,3,0.014011785467172163,1.0,train
0.9591177439037861,0,3.726488838881418,0.0,train
0.1931001671441963,1,1.2529497225432553,1.0,train
0.1931001671441963,0,3.1081030164821177,0.0,train
0.9591177439037861,1,0.11232673954667707,1.0,train
0.9591177439037861,41,0.027026724513121495,1.0,train
0.5330035777815809,1,0.0009638392126330328,1.0,train
0.9999545794446535,580,0.004047016287361425,1.0,train
0.9999545794446535,127,0.00022858569363808968,1.0,train
0.9999545794446535,4813,0.0005167793040050823,1.0,train
0.9591177439037861,2,2.3001700185280534,1.0,train
0.9591177439037861,1,2.9655152460144665,0.0,train
0.9999545794446535,0,2.8689743625998645,0.0,train
0.5330035777815809,1,0.2709974532314507,1.0,train
0.1931001671441963,0,0.36564619319362723,0.0,train
0.1931001671441963,0,0.4939457159242904,0.0,train
0.1931001671441963,1,0.43706426921088687,1.0,train
0.9999545794446535,3,0.02663685922414841,1.0,train
0.9591177439037861,7,0.43894374290523835,1.0,train
0.5330035777815809,3,0.06439113013084503,1.0,train
0.9591177439037861,10,0.028496708642874836,1.0,train
0.9591177439037861,1,0.34096262946230127,1.0,train
0.9999545794446535,9,0.5627316315796813,1.0,train
0.7968121300200199,3,1.0580204795457144,1.0,train
0.1931001671441963,0,0.3627831044173171,0.0,train
0.7968121300200199,5,0.12676273161255683,1.0,train
0.7968121300200199,0,3.952151450820051,0.0,train
0.7968121300200199,0,4.80635755066954,0.0,train
0.1931001671441963,0,0.7306707888854882,0.0,train
0.9999545794446535,30,0.0012104146502776648,1.0,train
0.1931001671441963,1,0.03494069239873953,1.0,train
0.9591177439037861,0,4.268268176486047,0.0,train
0.7968121300200199,0,4.829894764477864,0.0,train
0.5330035777815809,0,4.0267468684023715,0.0,train
0.9591177439037861,1,0.8526440701944331,0.0,train
0.9591177439037861,21,0.048641109182912645,1.0,train
0.9999545794446535,5,0.27470755888404425,1.0,train
0.7968121300200199,0,1.1593443066341331,0.0,train
0.5330035777815809,0,4.692004190583059,0.0,train
0.7968121300200199,1,0.9039278610442981,1.0,train
0.7968121300200199,0,1.8351899514895906,0.0,train
0.1931001671441963,0,5.762093281320268,0.0,train
0.5330035777815809,1,0.131525596797863,1.0,train
0.5330035777815809,0,2.987815646405169,0.0,train
0.9591177439037861,22,0.05265574258020689,1.0,train
0.1931001671441963,0,0.004415818007128314,0.0,train
0.9591177439037861,8,0.1153679805859726,1.0,train
0.1931001671441963,0,2.671117572537825,0.0,train
0.7968121300200199,2,1.4738803305112764,0.0,train
0.9591177439037861,0,4.418590922545017,0.0,train
0.9591177439037861,0,4.554390887144512,0.0,train
0.5330035777815809,0,1.7990353880478211,0.0,train
0.7968121300200199,0,1.0933938818083968,0.0,train
0.9999545794446535,335,0.0019686523910831606,1.0,train
0.9591177439037861,0,1.1520828287869842,0.0,train
0.9999545794446535,12,0.07821841849059777,1.0,train
0.7968121300200199,1,1.6096725285431432,1.0,train
0.5330035777815809,2,0.31474644297340576,1.0,train
0.9999545794446535,3,0.24766582243826885,1.0,train
0.9999545794446535,1103,0.0009166930534568889,1.0,train
0.9591177439037861,5,0.08985919426751776,0.0,train
0.5330035777815809,1,0.30922528160378415,1.0,train
0.7968121300200199,0,2.236309386760582,0.0,train
0.9591177439037861,13,0.006911707063005909,1.0,train
0.9999545794446535,795,0.0004118976196996053,1.0,train
0.9591177439037861,38,0.022859163330242772,1.0,train
0.9591177439037861,40,0.006471066824112069,1.0,train
0.9999545794446535,1548,0.0016099109700216212,1.0,train
0.1931001671441963,0,5.8328927229002145,0.0,train
0.7968121300200199,0,5.140049487934183,0.0,train
0.1931001671441963,0,5.768079348388652,0.0,train
0.5330035777815809,0,2.9398382824610563,0.0,train
0.9999545794446535,2644,0.000578611640240611,1.0,train
0.5330035777815809,0,2.69143596700866,0.0,train
0.9591177439037861,3,0.5383079644981044,0.0,train
0.7968121300200199,2,1.1369604364257122,1.0,train
0.9591177439037861,0,1.2786967349850393,0.0,train
