theta,m,t,delta,set
1.6514837167011076,0,5.759279562885835,0.0,train
0.39045721866878713,1,1.7345354540470448,1.0,train
0.8284271247461903,1,0.8355038553701568,1.0,train
4.324555320336758,7,0.019359236371830707,1.0,train
4.324555320336758,7,0.07118691875075565,1.0,train
0.39045721866878713,0,2.453158257498992,0.0,train
0.39045721866878713,1,0.2611135190299228,1.0,train
0.39045721866878713,0,4.37293709079462,0.0,train
1.6514837167011076,3,0.033666699738379845,1.0,train
1.6514837167011076,3,1.255388990050339,1.0,train
4.324555320336758,2,1.0198451058436246,1.0,train
0.39045721866878713,0,1.6354080248941862,0.0,train
0.39045721866878713,0,3.3831818008458425,0.0,train
4.324555320336758,1,0.47493340416569835,1.0,train
0.39045721866878713,0,1.308629242751093,0.0,train
1.6514837167011076,0,0.8915504632329108,0.0,train
0.39045721866878713,0,4.339989025997167,0.0,train
0.39045721866878713,1,1.2644018719653425,1.0,train
0.10818510677891968,0,5.6511561586718875,0.0,train
0.8284271247461903,0,2.6171119197046266,0.0,train
1.6514837167011076,2,1.166662169377732,1.0,train
0.10818510677891968,0,4.093314260993662,0.0,train
1.6514837167011076,3,0.1975277990832077,1.0,train
1.6514837167011076,0,1.9051220621373604,0.0,train
1.6514837167011076,3,0.29674529368483604,1.0,train
0.39045721866878713,0,1.4716973715472417,0.0,train
4.324555320336758,2,0.5246730204907295,1.0,train
0.39045721866878713,0,5.886340813861491,0.0,train
0.10818510677891968,0,2.5065610184874547,0.0,train
0.8284271247461903,1,0.11359362487735754,1.0,train
0.8284271247461903,0,1.8769575392820075,0.0,train
4.324555320336758,8,0.006330292942911899,1.0,train
1.6514837167011076,4,0.5695667241183677,1.0,train
0.39045721866878713,2,0.8626301587151303,1.0,train
4.324555320336758,2,0.7791414088395587,1.0,train
4.324555320336758,0,2.65099261131434,0.0,train
0.39045721866878713,0,3.612336540771473,0.0,train
4.324555320336758,0,1.7467845798393251,0.0,train
0.8284271247461903,0,3.0995227821251374,0.0,train
0.8284271247461903,0,3.395109170995453,0.0,train
1.6514837167011076,3,0.42659103505807894,1.0,train
0.8284271247461903,1,2.5440482918879104,0.0,train
0.10818510677891968,0,2.728240054712262,0.0,train
0.8284271247461903,0,4.87748704097817,0.0,train
4.324555320336758,0,1.2406024122533956,0.0,train
0.39045721866878713,0,1.937351604162854,0.0,train
1.6514837167011076,2,0.01870181471565265,1.0,train
0.39045721866878713,1,0.07129718683738522,1.0,train
0.10818510677891968,0,4.065361710311668,0.0,train
0.10818510677891968,0,4.243074075902348,0.0,train
0.39045721866878713,1,1.1095843199728723,0.0,train
0.10818510677891968,0,1.9394944644692425,0.0,train
0.39045721866878713,0,0.4302153813020759,0.0,train
0.39045721866878713,0,4.340651233537576,0.0,train
0.10818510677891968,0,0.34051393408871133,0.0,train
0.39045721866878713,0,3.7514857125319896,0.0,train
4.324555320336758,6,0.1603701889943289,1.0,train
4.324555320336758,2,0.24360075504101328,1.0,train
0.10818510677891968,1,0.7618916405128167,1.0,train
0.10818510677891968,0,4.737287368836175,0.0,train
0.8284271247461903,0,5.716228743852314,0.0,train
0.39045721866878713,0,4.78517023351514,0.0,train
0.39045721866878713,0,1.407158770710276,0.0,train
0.8284271247461903,0,4.015526663275507,0.0,train
0.8284271247461903,0,1.9891614632047765,0.0,train
0.8284271247461903,0,0.7873058374127464,0.0,train
0.10818510677891968,0,0.5487939054716295,0.0,train
0.39045721866878713,0,1.8671650802480515,0.0,train
4.324555320336758,5,0.08626416643131661,1.0,train
0.8284271247461903,0,4.243109751722487,0.0,train
0.10818510677891968,0,2.4948077287436234,0.0,train
1.6514837167011076,4,0.18760224370005368,1.0,train
1.6514837167011076,3,0.12305413089432515,1.0,train
0.39045721866878713,0,0.47157574831164717,0.0,train
0.39045721866878713,0,2.3155816041607196,0.0,train
0.10818510677891968,0,2.6759665794504786,0.0,train
0.8284271247461903,1,0.1464154775930521,1.0,train
0.10818510677891968,0,2.688088100481668,0.0,train
0.39045721866878713,0,4.190519032149101,0.0,train
4.324555320336758,3,0.224164787295534,1.0,train
0.8284271247461903,0,5.923432577998876,0.0,train
0.10818510677891968,0,5.513455458140264,0.0,train
0.8284271247461903,0,5.164049776978836,0.0,train
0.8284271247461903,0,1.6369637814144788,0.0,train
0.10818510677891968,0,1.5443703109535705,0.0,train
0.8284271247461903,2,0.7456673993166719,1.0,train
1.6514837167011076,0,5.5598440841727035,0.0,train
0.8284271247461903,0,4.742641259842577,0.0,train
1.6514837167011076,2,0.38129711725885806,1.0,train
4.324555320336758,15,0.08085508683867801,1.0,train
0.10818510677891968,0,2.1769667349032833,0.0,train
0.10818510677891968,0,0.925836396622228,0.0,train
4.324555320336758,6,0.06823087604053471,1.0,train
0.8284271247461903,1,0.1510278796298749,1.0,train
4.324555320336758,5,0.020502260750137332,1.0,train
0.10818510677891968,0,5.144495287889038,0.0,train
0.10818510677891968,0,1.647431094496031,0.0,train
0.10818510677891968,0,3.0835446218031883,0.0,train
1.6514837167011076,0,5.990897560438618,0.0,train
0.10818510677891968,0,0.9221048359245652,0.0,train
0.10818510677891968,0,3.9726668450080727,0.0,train
0.8284271247461903,1,0.5502858643647095,1.0,train
1.6514837167011076,0,3.6936780850263737,0.0,train
0.8284271247461903,1,1.6969249481433697,1.0,train
0.8284271247461903,1,0.5545214783550364,1.0,train
0.8284271247461903,0,0.25501603701760844,0.0,train
0.8284271247461903,1,0.3398120510454324,1.0,train
0.39045721866878713,0,2.861135074194114,0.0,train
0.10818510677891968,0,4.506327007710754,0.0,train
0.10818510677891968,0,0.714957833839045,0.0,train
1.6514837167011076,2,0.5836260764296721,1.0,train
1.6514837167011076,4,0.2155603103804774,1.0,train
0.8284271247461903,1,0.6497453741934613,1.0,train
1.6514837167011076,2,0.3100272710144401,1.0,train
1.6514837167011076,2,1.3612349676671711,0.0,train
1.6514837167011076,1,0.06428511789731549,1.0,train
1.6514837167011076,2,0.1730307555318446,1.0,train
0.8284271247461903,3,0.03247742364029713,1.0,train
1.6514837167011076,3,0.01961450392371795,1.0,train
0.39045721866878713,1,0.2642022155669761,0.0,train
1.6514837167011076,0,0.2534299487645264,0.0,train
0.39045721866878713,0,3.9830381607755276,0.0,train
4.324555320336758,0,3.6351499746347296,0.0,train
0.10818510677891968,0,0.8794430648874232,0.0,train
0.39045721866878713,2,0.585596528463691,0.0,train
4.324555320336758,1,2.1502704317364603,1.0,train
4.324555320336758,5,0.8558219316621563,1.0,train
0.39045721866878713,1,0.8245660051699557,1.0,train
1.6514837167011076,4,0.08780027997100531,1.0,train
0.39045721866878713,0,2.2695520397798905,0.0,train
0.8284271247461903,0,1.9134845513235883,0.0,train
0.8284271247461903,0,4.686542310279979,0.0,train
1.6514837167011076,2,0.09739554393117829,1.0,train
0.8284271247461903,1,0.06771271442337375,1.0,train
0.10818510677891968,0,2.325553795844518,0.0,train
0.8284271247461903,0,4.5340566973176175,0.0,train
1.6514837167011076,0,1.785424216691035,0.0,train
0.39045721866878713,0,5.621374577597411,0.0,train
4.324555320336758,14,0.011814296915916164,1.0,train
4.324555320336758,1,0.003280068942555836,0.0,train
0.8284271247461903,0,5.5096998147055904,0.0,train
0.10818510677891968,0,4.168476758909242,0.0,train
0.10818510677891968,0,3.1545407071135143,0.0,train
