theta,m,t,delta,set
0.6931471805599453,0,0.1724066661475696,0.0,train
0.6931471805599453,0,2.4773530527612735,0.0,train
2.3025850929940455,2,0.086947560236791,1.0,train
0.6931471805599453,0,0.4168496537243176,0.0,train
0.10536051565782635,0,1.4160353830666819,0.0,train
2.3025850929940455,3,0.10453648862416633,1.0,train
1.2039728043259361,0,4.536354501590718,0.0,train
0.6931471805599453,0,4.989942914453437,0.0,train
0.6931471805599453,3,1.0911436125627372,1.0,train
0.10536051565782635,0,5.858435696544838,0.0,train
2.3025850929940455,4,0.030422574532817753,1.0,train
0.6931471805599453,0,4.879912798240809,0.0,train
0.10536051565782635,1,0.7573826100903529,1.0,train
2.3025850929940455,1,0.7054568951426832,1.0,train
0.10536051565782635,0,5.94004315751809,0.0,train
1.2039728043259361,1,0.1763370096836298,1.0,train
0.10536051565782635,1,1.273517822305106,1.0,train
2.3025850929940455,2,0.5328783428472559,1.0,train
0.10536051565782635,0,3.0018459288886654,0.0,train
0.3566749439387324,1,0.10838507319124098,1.0,train
0.3566749439387324,0,1.1678628065722496,0.0,train
1.2039728043259361,2,0.5866448001457996,1.0,train
0.6931471805599453,0,1.9013921760420902,0.0,train
2.3025850929940455,2,0.902839742043716,1.0,train
1.2039728043259361,2,0.1460448427165627,1.0,train
0.6931471805599453,0,2.7482768992867204,0.0,train
0.6931471805599453,1,0.6895700206706942,1.0,train
0.6931471805599453,0,2.4432472791256172,0.0,train
1.2039728043259361,0,3.8314854364425983,0.0,train
0.3566749439387324,0,2.2427555369909262,0.0,train
0.10536051565782635,0,1.0046051957322804,0.0,train
0.6931471805599453,0,1.535267671461436,0.0,train
2.3025850929940455,1,0.23520616470489464,0.0,train
1.2039728043259361,1,0.32658441516803427,1.0,train
0.10536051565782635,1,3.498981233505026,1.0,train
0.10536051565782635,0,3.2131217937025265,0.0,train
2.3025850929940455,1,2.5239906504589382,1.0,train
1.2039728043259361,0,3.6935370166097856,0.0,train
0.10536051565782635,1,0.05096283280027147,1.0,train
2.3025850929940455,2,0.25792227471499035,1.0,train
0.3566749439387324,1,0.7940414986169404,1.0,train
0.10536051565782635,0,1.169103078495605,0.0,train
0.3566749439387324,2,0.06140108469367434,1.0,train
0.6931471805599453,1,1.6605661774877014,1.0,train
1.2039728043259361,2,0.8605695929070921,1.0,train
1.2039728043259361,1,1.1058977488101644,1.0,train
1.2039728043259361,3,0.07821991017316668,1.0,train
0.6931471805599453,2,0.30107411179445304,1.0,train
1.2039728043259361,2,0.21251959660772726,1.0,train
1.2039728043259361,2,0.03957852971667889,1.0,train
0.10536051565782635,0,4.698080161363103,0.0,train
0.10536051565782635,0,3.8463148241575524,0.0,train
0.6931471805599453,1,3.3680194264868386,0.0,train
1.2039728043259361,0,4.770627839156463,0.0,train
2.3025850929940455,1,0.30033364221467995,1.0,train
2.3025850929940455,5,0.11222828775002508,1.0,train
0.10536051565782635,0,5.85589677294543,0.0,train
0.10536051565782635,0,1.208752439448373,0.0,train
1.2039728043259361,0,5.962988458350514,0.0,train
0.10536051565782635,0,0.26316276435752295,0.0,train
1.2039728043259361,0,2.573665564292563,0.0,train
1.2039728043259361,2,0.23893467397172619,1.0,train
2.3025850929940455,1,0.8547956585404375,1.0,train
0.10536051565782635,0,0.9180654052637625,0.0,train
0.10536051565782635,0,0.8491276948319681,0.0,train
1.2039728043259361,1,1.418428441858267,1.0,train
0.3566749439387324,0,2.2085202122334184,0.0,train
0.3566749439387324,0,1.5024208993249237,0.0,train
0.10536051565782635,0,4.227527496575544,0.0,train
0.10536051565782635,0,1.9685438413926646,0.0,train
1.2039728043259361,1,0.034962603686429866,1.0,train
0.6931471805599453,1,0.2814360260401626,1.0,train
0.6931471805599453,1,0.29863234692267016,0.0,train
1.2039728043259361,0,1.1132755557995462,0.0,train
0.10536051565782635,0,2.50541260465449,0.0,train
0.3566749439387324,1,1.3243656291557049,1.0,train
0.3566749439387324,1,0.18571590344314798,1.0,train
1.2039728043259361,2,0.15687901954807937,1.0,train
0.3566749439387324,0,5.299852888172447,0.0,train
0.10536051565782635,0,2.817525960899122,0.0,train
0.10536051565782635,0,2.619241558055163,0.0,train
2.3025850929940455,1,0.03939897577641217,1.0,train
0.3566749439387324,1,0.1312677931164993,1.0,train
0.6931471805599453,1,0.64788542255851,1.0,train
0.6931471805599453,0,0.26061430591068335,0.0,train
0.6931471805599453,0,2.4172024454156675,0.0,train
0.6931471805599453,1,3.1851594446858633,1.0,train
2.3025850929940455,1,0.05389673022736418,1.0,train
0.6931471805599453,2,0.9411645507162489,1.0,train
2.3025850929940455,2,0.2579110545447159,1.0,train
0.3566749439387324,1,0.16125349727064323,1.0,train
1.2039728043259361,0,5.377543338717161,0.0,train
0.6931471805599453,0,5.797470184128981,0.0,train
0.3566749439387324,1,0.10984465027259302,1.0,train
0.3566749439387324,0,1.8134385786292306,0.0,train
2.3025850929940455,2,0.9393675425449706,1.0,train
1.2039728043259361,1,0.4527844967772722,1.0,train
0.3566749439387324,0,3.62413593557235,0.0,train
0.10536051565782635,0,2.80392160437489,0.0,train
2.3025850929940455,3,0.08801871756674873,1.0,train
1.2039728043259361,0,0.3001509543813812,0.0,train
0.3566749439387324,0,5.450841889488169,0.0,train
0.6931471805599453,0,4.1797547079089235,0.0,train
1.2039728043259361,1,0.2791772180474196,1.0,train
0.3566749439387324,0,4.909325403273998,0.0,train
0.10536051565782635,1,0.2639367087106221,1.0,train
2.3025850929940455,2,0.7774438737098651,1.0,train
1.2039728043259361,0,0.10980391549892698,0.0,train
1.2039728043259361,3,0.4042509272208401,1.0,train
0.10536051565782635,1,1.1083539797358404,1.0,train
0.10536051565782635,0,3.1788242880558015,0.0,train
2.3025850929940455,3,0.13647115350986308,1.0,train
0.3566749439387324,0,0.3834563821555068,0.0,train
2.3025850929940455,2,0.06002739311648454,1.0,train
2.3025850929940455,1,0.7793627470731344,1.0,train
0.10536051565782635,0,4.252283327100984,0.0,train
1.2039728043259361,1,0.32576687065932275,1.0,train
2.3025850929940455,2,0.009527181913877693,1.0,train
1.2039728043259361,1,0.28659114916412187,1.0,train
