theta,m,t,delta,set
0.10536051565782635,0,3.4917860396693956,0.0,train
2.3025850929940455,1,0.10802033477536899,0.0,train
0.10536051565782635,1,0.5995372897370359,1.0,train
0.6931471805599453,1,0.4193926104451851,1.0,train
0.10536051565782635,0,5.095724074059816,0.0,train
1.2039728043259361,0,4.690530627063661,0.0,train
0.10536051565782635,0,3.1222933056116737,0.0,train
0.10536051565782635,0,1.9333754227270987,0.0,train
0.10536051565782635,0,1.4096797857385925,0.0,train
0.3566749439387324,0,4.273487595761317,0.0,train
1.2039728043259361,1,1.110101127630258,1.0,train
0.6931471805599453,0,1.4457364974875822,0.0,train
0.10536051565782635,0,1.4368437313546811,0.0,train
1.2039728043259361,0,4.660091917944456,0.0,train
1.2039728043259361,2,0.21362150411241365,1.0,train
2.3025850929940455,3,0.07329586444402299,1.0,train
0.10536051565782635,1,1.466499583718894,0.0,train
1.2039728043259361,4,0.14566517869515336,1.0,train
2.3025850929940455,1,0.9877302064740033,1.0,train
0.3566749439387324,0,1.0588832343262753,0.0,train
0.6931471805599453,1,0.39328086880412316,0.0,train
1.2039728043259361,0,1.6767941945151337,0.0,train
0.10536051565782635,0,2.4017634518686526,0.0,train
0.10536051565782635,0,4.996410010071966,0.0,train
1.2039728043259361,1,0.05477300149350887,1.0,train
0.6931471805599453,0,2.788847253573267,0.0,train
1.2039728043259361,1,0.5853634114136242,1.0,train
0.6931471805599453,1,0.02339353270116463,1.0,train
0.10536051565782635,0,2.1115488740162873,0.0,train
0.10536051565782635,0,1.2426947086279152,0.0,train
1.2039728043259361,0,4.648014022385882,0.0,train
1.2039728043259361,0,1.9948402581773512,0.0,train
0.10536051565782635,0,2.5041276005086206,0.0,train
0.3566749439387324,0,2.0478240665799543,0.0,train
1.2039728043259361,1,0.07916098036270779,1.0,train
2.3025850929940455,2,0.18341325045633836,1.0,train
1.2039728043259361,0,3.7474958274908547,0.0,train
0.10536051565782635,0,0.8943897584950533,0.0,train
0.6931471805599453,0,1.3550538401280892,0.0,train
0.3566749439387324,0,2.5119963703001478,0.0,train
1.2039728043259361,3,0.12511324602731919,1.0,train
0.10536051565782635,0,0.8396062579502261,0.0,train
0.3566749439387324,0,1.363821975256768,0.0,train
0.10536051565782635,0,3.615541213662544,0.0,train
0.3566749439387324,0,0.16910080505346192,0.0,train
2.3025850929940455,2,0.3720497649026258,1.0,train
0.3566749439387324,0,2.0071953454224607,0.0,train
0.6931471805599453,1,0.37439311964640193,1.0,train
2.3025850929940455,3,0.042497260719289276,1.0,train
0.3566749439387324,1,0.006634177099979231,1.0,train
1.2039728043259361,1,0.21985502567087692,1.0,train
0.3566749439387324,1,0.17223180159368548,1.0,train
0.6931471805599453,2,0.3057059335870986,1.0,train
0.3566749439387324,0,1.3581891176440666,0.0,train
0.10536051565782635,0,4.870145303831378,0.0,train
1.2039728043259361,1,0.2572805180254887,0.0,train
0.3566749439387324,0,0.8850778180859669,0.0,train
0.10536051565782635,0,4.142408278496814,0.0,train
0.3566749439387324,0,4.083049747725349,0.0,train
1.2039728043259361,2,0.045770357270241126,1.0,train
1.2039728043259361,0,4.921773269144732,0.0,train
1.2039728043259361,1,1.235002265091803,1.0,train
