theta,m,t,delta,set
0.5,0,1.7551385750112851,0.0,train
0.9,1,0.4208965978495278,1.0,train
0.5,0,3.9954339702212955,0.0,train
0.5,0,5.520679977163789,0.0,train
0.7000000000000001,1,3.2517168426357315,1.0,train
0.7000000000000001,0,0.06581384747633368,0.0,train
0.7000000000000001,1,0.27731980581656746,1.0,train
0.30000000000000004,1,1.0505609943596612,0.0,train
0.7000000000000001,1,0.35176208717176183,1.0,train
0.10000000000000009,0,4.69821060248408,0.0,train
0.7000000000000001,1,0.5040369391195939,1.0,train
0.30000000000000004,0,4.814764521573242,0.0,train
0.7000000000000001,0,3.2269562732421013,0.0,train
0.10000000000000009,0,4.404819519575761,0.0,train
0.7000000000000001,1,1.089096383526771,1.0,train
0.10000000000000009,0,5.337158157132767,0.0,train
0.9,1,0.24745138452902277,1.0,train
0.7000000000000001,1,2.0423944772461367,1.0,train
0.7000000000000001,1,1.5676136388977437,1.0,train
0.10000000000000009,0,2.422118293154959,0.0,train
0.7000000000000001,1,0.46505910200803674,1.0,train
0.30000000000000004,0,1.69110693543819,0.0,train
0.30000000000000004,0,4.35007812891162,0.0,train
0.9,1,0.720018928985654,1.0,train
0.10000000000000009,0,4.104505404583547,0.0,train
0.9,1,0.3155737019053876,1.0,train
0.30000000000000004,0,3.0648623334056766,0.0,train
0.7000000000000001,1,2.1758905097080885,1.0,train
0.9,1,0.35183827957622604,1.0,train
0.30000000000000004,0,4.4245331471364615,0.0,train
0.7000000000000001,1,0.19466620622624423,1.0,train
0.9,0,0.3996735232448516,0.0,train
0.9,1,0.2686748811501596,0.0,train
0.10000000000000009,0,3.1054421605455698,0.0,train
0.7000000000000001,1,0.013500787901472721,1.0,train
0.5,0,1.6703247613511873,0.0,train
0.7000000000000001,1,0.08367400379650972,1.0,train
0.5,0,3.1401003519333406,0.0,train
0.30000000000000004,0,5.256767592641957,0.0,train
0.5,0,5.055419880774986,0.0,train
0.9,1,0.2154718145398224,1.0,train
0.10000000000000009,0,0.15720289913959706,0.0,train
0.10000000000000009,0,2.004013055326086,0.0,train
0.7000000000000001,1,0.01756166843912499,1.0,train
0.30000000000000004,0,2.6470824235403185,0.0,train
0.9,0,4.728590996151705,0.0,train
0.10000000000000009,0,2.583795520128211,0.0,train
0.30000000000000004,1,0.11132520233442714,1.0,train
0.5,0,4.500518655076831,0.0,train
0.5,0,5.085783782545018,0.0,train
0.10000000000000009,0,3.0804420328504407,0.0,train
0.5,0,1.7780107884156935,0.0,train
0.30000000000000004,1,1.4890332266038853,1.0,train
0.30000000000000004,0,2.1424394207624795,0.0,train
0.9,1,0.6221164815665877,1.0,train
0.7000000000000001,1,0.016238047054321483,1.0,train
0.9,1,0.10804404355679839,1.0,train
0.5,0,5.120073217037884,0.0,train
0.30000000000000004,1,1.6449763558865933,1.0,train
0.10000000000000009,1,0.07852026775545012,1.0,train
0.7000000000000001,0,1.3656132897133886,0.0,train
0.30000000000000004,1,0.24088402519718952,1.0,train
0.7000000000000001,1,0.13667433934183693,1.0,train
0.10000000000000009,0,3.9957797732924587,0.0,train
