theta,m,t,delta,set
2.3025850929940455,2,0.394243259164783,1.0,train
1.2039728043259361,2,1.3638584177081325,0.0,train
2.3025850929940455,0,1.8862596966843026,0.0,train
1.2039728043259361,1,0.6338957902484209,1.0,train
1.2039728043259361,0,3.642564971834763,0.0,train
0.3566749439387324,0,2.481518490006968,0.0,train
0.6931471805599453,0,4.898109070963285,0.0,train
1.2039728043259361,1,0.23669052671280186,1.0,train
2.3025850929940455,2,0.04235971743587581,1.0,train
1.2039728043259361,1,0.03781886727227817,1.0,train
2.3025850929940455,2,1.1097238903018514,1.0,train
0.3566749439387324,0,2.093925583324733,0.0,train
0.3566749439387324,0,0.3417863968969963,0.0,train
0.3566749439387324,1,0.5629469499035007,1.0,train
1.2039728043259361,0,3.9846153321287607,0.0,train
1.2039728043259361,2,0.7678890345518384,1.0,train
2.3025850929940455,2,0.04067609540931114,1.0,train
0.6931471805599453,1,0.21494772778713547,1.0,train
2.3025850929940455,1,0.408966934097005,1.0,train
0.3566749439387324,0,5.98052055124926,0.0,train
1.2039728043259361,2,0.05373094350198613,1.0,train
0.6931471805599453,3,0.5662601034306365,1.0,train
0.6931471805599453,0,5.85593440998543,0.0,train
0.3566749439387324,0,5.409375508015928,0.0,train
0.3566749439387324,1,1.8819060935272292,1.0,train
1.2039728043259361,3,0.015523386508953215,1.0,train
1.2039728043259361,0,0.5614625749048845,0.0,train
2.3025850929940455,0,0.3922302902533583,0.0,train
0.6931471805599453,0,2.7103988921488518,0.0,train
0.6931471805599453,2,1.0676996879169913,1.0,train
2.3025850929940455,0,5.852100205621719,0.0,train
0.6931471805599453,0,1.0078997591976895,0.0,train
2.3025850929940455,5,0.052254159572669524,1.0,train
0.10536051565782635,0,4.6048492131780785,0.0,train
0.10536051565782635,0,4.945427037746986,0.0,train
0.6931471805599453,0,3.795694900667984,0.0,train
0.3566749439387324,0,4.012396621240392,0.0,train
0.6931471805599453,1,1.9938448986318251,1.0,train
0.10536051565782635,0,0.07881814153843347,0.0,train
1.2039728043259361,2,0.08514836734128071,1.0,train
1.2039728043259361,4,0.04425594439363039,1.0,train
1.2039728043259361,2,0.27366220389021123,1.0,train
2.3025850929940455,1,2.8117700564766555,0.0,train
0.10536051565782635,0,2.74442949653659,0.0,train
0.10536051565782635,0,0.8259764456736189,0.0,train
0.10536051565782635,0,0.06533240282087394,0.0,train
1.2039728043259361,3,0.9517469458544491,1.0,train
0.6931471805599453,0,1.9197170284660703,0.0,train
2.3025850929940455,1,0.42290837676701337,1.0,train
0.6931471805599453,0,1.321405356954936,0.0,train
0.3566749439387324,0,2.032248152890078,0.0,train
2.3025850929940455,3,0.26894489770879343,1.0,train
0.10536051565782635,0,4.529348742363196,0.0,train
0.3566749439387324,0,2.7831467034017736,0.0,train
0.10536051565782635,0,0.7489352586700577,0.0,train
0.3566749439387324,0,1.875008270952297,0.0,train
1.2039728043259361,1,2.8273062000602196,1.0,train
0.3566749439387324,0,4.043094048101206,0.0,train
0.6931471805599453,1,1.1527033383358334,1.0,train
0.10536051565782635,0,0.7820146857261256,0.0,train
1.2039728043259361,0,0.1374907879342906,0.0,train
0.10536051565782635,0,3.1144939332719366,0.0,train
2.3025850929940455,3,0.06711419302945128,1.0,train
0.10536051565782635,0,0.07562260217925787,0.0,train
0.6931471805599453,0,4.034819067922403,0.0,train
0.3566749439387324,0,4.120849359941951,0.0,train
0.6931471805599453,1,0.9286843995050964,1.0,train
0.6931471805599453,1,1.3181681553487012,1.0,train
2.3025850929940455,5,0.05563286548268599,1.0,train
0.3566749439387324,0,0.031439025908795104,0.0,train
0.6931471805599453,2,0.963240497601902,1.0,train
0.3566749439387324,0,5.1559068365856,0.0,train
2.3025850929940455,1,0.75776636731049,1.0,train
0.6931471805599453,1,0.28540563749323233,1.0,train
1.2039728043259361,1,0.34966893663595944,1.0,train
0.10536051565782635,0,3.470997478735203,0.0,train
2.3025850929940455,5,0.06659958295191448,1.0,train
0.3566749439387324,0,3.3631799432163527,0.0,train
0.10536051565782635,0,4.0303787089045215,0.0,train
1.2039728043259361,2,1.750008510764621,1.0,train
0.6931471805599453,2,0.6669936742645428,1.0,train
1.2039728043259361,1,0.7492254975307596,1.0,train
0.6931471805599453,1,0.9803528176863932,1.0,train
0.6931471805599453,0,1.7376164771212645,0.0,train
0.10536051565782635,0,4.642795723465092,0.0,train
0.6931471805599453,2,0.33147994663070646,1.0,train
0.6931471805599453,0,4.846190454673257,0.0,train
0.6931471805599453,2,0.8386131191089159,1.0,train
1.2039728043259361,2,0.12228407122383826,1.0,train
1.2039728043259361,1,0.9062968020036503,1.0,train
0.6931471805599453,0,1.8518516857839067,0.0,train
1.2039728043259361,3,0.14089058867492132,1.0,train
2.3025850929940455,2,0.9217648221362792,1.0,train
0.3566749439387324,0,1.3283802054492064,0.0,train
0.6931471805599453,0,1.2846728209238907,0.0,train
0.10536051565782635,0,1.1936875405624001,0.0,train
0.6931471805599453,2,0.4241575482331577,1.0,train
0.6931471805599453,1,0.9054128564100301,1.0,train
0.6931471805599453,0,0.15976730814972884,0.0,train
2.3025850929940455,3,0.0610004750752526,1.0,train
0.6931471805599453,0,4.047384142580463,0.0,train
1.2039728043259361,1,1.3875639049484794,1.0,train
2.3025850929940455,4,0.2138816020876876,1.0,train
0.6931471805599453,0,1.3902138629147522,0.0,train
0.6931471805599453,2,0.007345884391303097,1.0,train
0.10536051565782635,0,5.504001378489784,0.0,train
0.6931471805599453,0,4.26788710881892,0.0,train
0.10536051565782635,1,2.496246879553357,1.0,train
1.2039728043259361,2,0.8876239120245247,1.0,train
1.2039728043259361,5,0.13119671616342504,1.0,train
0.3566749439387324,0,2.6118357457771197,0.0,train
0.6931471805599453,0,5.540737290712651,0.0,train
0.6931471805599453,2,0.580438485319996,1.0,train
1.2039728043259361,2,0.13551703028969128,1.0,train
0.6931471805599453,0,0.7572606224961522,0.0,train
0.3566749439387324,1,0.03673485261905559,1.0,train
0.6931471805599453,1,0.22337122274311644,1.0,train
0.6931471805599453,2,0.012170521268454275,1.0,train
0.10536051565782635,0,2.5870905309622256,0.0,train
2.3025850929940455,1,0.36146593343468714,1.0,train
0.3566749439387324,0,0.8805088845857647,0.0,train
2.3025850929940455,0,4.37591351616674,0.0,train
2.3025850929940455,0,1.1324704012631157,0.0,train
2.3025850929940455,1,0.021607735834572418,1.0,train
2.3025850929940455,4,0.3472569732733805,1.0,train
0.3566749439387324,0,1.2643943524999244,0.0,train
1.2039728043259361,1,0.7074883727184074,1.0,train
0.10536051565782635,0,4.493570251475019,0.0,train
1.2039728043259361,0,3.8293122637220005,0.0,train
0.10536051565782635,0,3.5827638176798944,0.0,train
0.6931471805599453,1,0.6064049236259488,1.0,train
2.3025850929940455,5,0.2803066702158886,1.0,train
2.3025850929940455,2,0.8783864283575469,1.0,train
0.3566749439387324,0,2.5533683415692816,0.0,train
0.10536051565782635,0,4.693090900988432,0.0,train
1.2039728043259361,0,0.3368462379714918,0.0,train
2.3025850929940455,4,0.07466667298997326,1.0,train
2.3025850929940455,2,0.08344789077827114,1.0,train
0.3566749439387324,1,0.6571938823307655,1.0,train
0.3566749439387324,1,0.5900004350069393,1.0,train
1.2039728043259361,1,0.4806218628362957,0.0,train
1.2039728043259361,0,5.427786017617457,0.0,train
0.6931471805599453,0,2.2209250653224295,0.0,train
2.3025850929940455,1,0.5955437392443277,1.0,train
2.3025850929940455,0,2.9646975953779506,0.0,train
0.6931471805599453,0,0.7929668516576289,0.0,train
2.3025850929940455,1,1.218455163883814,1.0,train
0.3566749439387324,1,0.457132854193927,0.0,train
0.10536051565782635,0,3.0475301996717246,0.0,train
0.10536051565782635,0,1.5692973109979227,0.0,train
2.3025850929940455,0,2.1423696532967513,0.0,train
0.3566749439387324,2,0.648391972183421,0.0,train
0.6931471805599453,1,0.16367339950030263,1.0,train
2.3025850929940455,1,0.6395032607328066,0.0,train
1.2039728043259361,0,5.914252942279127,0.0,train
2.3025850929940455,3,0.2662711869449125,1.0,train
1.2039728043259361,0,3.4344306746078956,0.0,train
0.10536051565782635,0,0.26907200753452876,0.0,train
0.3566749439387324,2,0.19440898802391943,1.0,train
1.2039728043259361,2,0.3864931992853444,1.0,train
1.2039728043259361,0,3.1674238704487596,0.0,train
0.10536051565782635,0,4.440465258954429,0.0,train
0.10536051565782635,0,0.8995889095035356,0.0,train
0.6931471805599453,1,0.9506904239850588,1.0,train
0.10536051565782635,0,1.2997032499726764,0.0,train
0.6931471805599453,0,4.555176295902868,0.0,train
2.3025850929940455,0,4.337491161337282,0.0,train
0.10536051565782635,0,1.059294205662498,0.0,train
1.2039728043259361,1,1.4271236571240884,1.0,train
0.3566749439387324,0,0.11865059709806558,0.0,train
0.3566749439387324,0,5.161421984538691,0.0,train
0.10536051565782635,1,0.558030968894488,1.0,train
0.3566749439387324,0,2.4193228326350953,0.0,train
0.3566749439387324,0,4.55248158613402,0.0,train
0.10536051565782635,0,4.30157401015482,0.0,train
0.6931471805599453,1,0.10473911200861545,1.0,train
2.3025850929940455,3,0.12220719639548612,1.0,train
0.10536051565782635,0,0.022762034456055513,0.0,train
1.2039728043259361,0,5.603415649889326,0.0,train
0.6931471805599453,0,5.147382627227363,0.0,train
0.3566749439387324,0,4.3731052651155355,0.0,train
0.6931471805599453,0,3.1001326975292303,0.0,train
0.3566749439387324,1,1.718954266208878,1.0,train
1.2039728043259361,0,4.683177341260457,0.0,train
1.2039728043259361,0,2.2492556612211563,0.0,train
1.2039728043259361,2,0.9153811667132817,1.0,train
0.6931471805599453,0,4.503745915051052,0.0,train
1.2039728043259361,1,0.6755233197669721,1.0,train
2.3025850929940455,2,0.092305747002329,1.0,train
0.10536051565782635,1,0.6191573656138094,1.0,train
2.3025850929940455,1,0.018677146951152634,0.0,train
2.3025850929940455,0,4.6493798803475865,0.0,train
0.10536051565782635,0,5.378499614741082,0.0,train
2.3025850929940455,3,0.025806374265997713,1.0,train
0.6931471805599453,2,0.40106243366077,1.0,train
