theta,m,t,delta,set
0.3566749439387324,1,1.3780814621525663,0.0,train
0.22314355131420976,0,5.932543613093117,0.0,train
0.05129329438755048,0,0.2275508137720077,0.0,train
0.5108256237659907,0,5.173182830088368,0.0,train
0.10536051565782635,0,4.22960272210163,0.0,train
0.05129329438755048,0,0.24859302001941774,0.0,train
0.05129329438755048,0,2.0751846068168573,0.0,train
0.05129329438755048,0,5.372026032536118,0.0,train
0.22314355131420976,0,0.0759128889991516,0.0,train
0.3566749439387324,0,2.6555150584855904,0.0,train
0.22314355131420976,2,0.5712271081542243,1.0,train
0.5108256237659907,3,0.14644394580810796,1.0,train
0.10536051565782635,0,1.0877552766011624,0.0,train
0.3566749439387324,0,0.07532488770605772,0.0,train
0.5108256237659907,0,0.10639535764340513,0.0,train
0.3566749439387324,0,4.206859594046445,0.0,train
0.05129329438755048,0,0.17884471487026943,0.0,train
0.3566749439387324,0,0.845805764423402,0.0,train
0.22314355131420976,0,2.0336877303487118,0.0,train
0.3566749439387324,1,1.0105132224050328,0.0,train
0.10536051565782635,0,5.81329623376933,0.0,train
0.3566749439387324,0,4.476911901568114,0.0,train
0.3566749439387324,0,1.3920952772642314,0.0,train
0.5108256237659907,0,4.88979331053344,0.0,train
0.3566749439387324,0,3.4413037573018874,0.0,train
0.5108256237659907,5,0.2562726550669434,1.0,train
0.5108256237659907,0,3.475442984949169,0.0,train
0.3566749439387324,0,5.25926902078523,0.0,train
0.05129329438755048,0,2.2550793236505733,0.0,train
0.05129329438755048,0,3.0077147075527035,0.0,train
0.10536051565782635,1,0.7942965978798406,1.0,train
0.5108256237659907,0,1.4756346438309094,0.0,train
0.10536051565782635,0,0.36163930713278747,0.0,train
0.3566749439387324,0,1.542777616214309,0.0,train
0.5108256237659907,0,1.7242045694839592,0.0,train
0.5108256237659907,2,0.17465711705879897,1.0,train
0.22314355131420976,0,1.2022318125604174,0.0,train
0.05129329438755048,0,2.604473186040578,0.0,train
0.5108256237659907,0,5.86389677299972,0.0,train
0.10536051565782635,0,5.291596584037812,0.0,train
0.05129329438755048,0,4.469939643001916,0.0,train
0.22314355131420976,0,0.1431145711176427,0.0,train
0.3566749439387324,0,5.522951952302155,0.0,train
0.22314355131420976,0,4.1753963497163475,0.0,train
0.5108256237659907,0,1.7125906831275444,0.0,train
0.22314355131420976,1,0.8836486183869947,1.0,train
0.05129329438755048,0,3.9631792652973754,0.0,train
0.10536051565782635,0,1.3862849794468253,0.0,train
0.5108256237659907,0,2.5994925373757587,0.0,train
0.10536051565782635,0,4.7760755783491975,0.0,train
0.5108256237659907,0,0.05891538952147135,0.0,train
0.22314355131420976,0,3.341585977989183,0.0,train
0.22314355131420976,0,1.0792654667372963,0.0,train
0.22314355131420976,0,3.3389190312667747,0.0,train
0.22314355131420976,0,2.954634233982655,0.0,train
0.10536051565782635,0,2.4187554671784217,0.0,train
0.5108256237659907,9,0.30207078296106316,0.0,train
0.05129329438755048,0,4.815455537809532,0.0,train
0.05129329438755048,0,0.9253207568468587,0.0,train
0.22314355131420976,2,0.47473565382637267,1.0,train
0.22314355131420976,1,1.0556867633574598,1.0,train
0.10536051565782635,0,3.8413764261588286,0.0,train
0.10536051565782635,0,3.1245918740288765,0.0,train
0.22314355131420976,0,2.455699670389248,0.0,train
0.5108256237659907,0,0.9143067691183178,0.0,train
0.05129329438755048,0,1.6350566968216707,0.0,train
0.22314355131420976,0,5.752670810081562,0.0,train
0.5108256237659907,0,1.380646205629651,0.0,train
0.5108256237659907,1,0.007045418109323783,1.0,train
0.5108256237659907,2,0.002537858271633018,1.0,train
0.10536051565782635,0,3.7255667161286175,0.0,train
0.22314355131420976,1,0.3199881648239104,1.0,train
0.3566749439387324,0,2.701165551646731,0.0,train
0.22314355131420976,1,0.9867149704721099,0.0,train
0.5108256237659907,0,0.36193465884224896,0.0,train
0.10536051565782635,0,4.430160511902545,0.0,train
0.5108256237659907,1,0.2155825349880557,1.0,train
0.10536051565782635,0,1.933416881365653,0.0,train
0.22314355131420976,0,2.4233250908688824,0.0,train
0.3566749439387324,1,0.20933229873376646,0.0,train
0.05129329438755048,0,5.46224858223585,0.0,train
0.3566749439387324,9,0.2216403324643292,1.0,train
0.10536051565782635,0,4.87295682406034,0.0,train
0.5108256237659907,5,0.1579228409201004,1.0,train
0.5108256237659907,0,0.9787560978136185,0.0,train
0.22314355131420976,0,1.4405748876987434,0.0,train
0.10536051565782635,0,4.013427038681897,0.0,train
0.22314355131420976,0,2.9567413631530712,0.0,train
0.05129329438755048,0,1.4663817577053648,0.0,train
0.10536051565782635,0,0.6201365312053437,0.0,train
0.10536051565782635,0,3.868489184796139,0.0,train
0.3566749439387324,3,0.03254674386036001,1.0,train
0.3566749439387324,0,3.265723202800819,0.0,train
0.10536051565782635,0,3.556035440065008,0.0,train
0.5108256237659907,4,0.10679927492507021,1.0,train
0.3566749439387324,0,0.9674134013508504,0.0,train
0.22314355131420976,0,2.138023413233262,0.0,train
0.3566749439387324,2,0.26319636977164906,0.0,train
0.3566749439387324,0,5.524332140202567,0.0,train
0.3566749439387324,0,4.6751981259600575,0.0,train
0.5108256237659907,0,2.610725146135395,0.0,train
0.5108256237659907,0,4.9354743424035075,0.0,train
0.22314355131420976,0,5.205712364173466,0.0,train
0.3566749439387324,0,2.858260995716067,0.0,train
0.10536051565782635,0,4.7051556607098775,0.0,train
0.05129329438755048,0,4.96661153698226,0.0,train
0.22314355131420976,0,4.929160574003182,0.0,train
0.10536051565782635,0,3.659506632878098,0.0,train
0.3566749439387324,1,1.9121068341760137,0.0,train
0.3566749439387324,1,1.6546615288950726,0.0,train
0.3566749439387324,0,3.993618100069126,0.0,train
0.22314355131420976,0,5.563952221149428,0.0,train
0.10536051565782635,1,0.07691399999657507,1.0,train
0.05129329438755048,0,5.571926702731405,0.0,train
0.05129329438755048,0,1.5805957828176511,0.0,train
0.3566749439387324,0,0.859265562292868,0.0,train
0.05129329438755048,0,5.252663363462209,0.0,train
0.05129329438755048,0,1.1810420026335544,0.0,train
0.10536051565782635,0,5.599195101783288,0.0,train
0.05129329438755048,0,3.77165038667424,0.0,train
0.3566749439387324,0,5.9277830408267835,0.0,train
0.5108256237659907,0,2.545366424637099,0.0,train
0.22314355131420976,2,0.04938365013419924,1.0,train
0.22314355131420976,0,4.38030799352768,0.0,train
0.05129329438755048,0,2.0247154749403524,0.0,train
0.05129329438755048,0,3.527986080914312,0.0,train
0.05129329438755048,0,4.217946611730189,0.0,train
0.22314355131420976,0,0.5100105034930238,0.0,train
