theta,m,t,delta,set
0.025320565519103555,0,0.3619217971785875,0.0,train
0.025320565519103555,0,2.419640746324572,0.0,train
0.2254033307585166,0,5.7161893546975024,0.0,train
0.05131670194948623,0,4.354897546922988,0.0,train
0.2254033307585166,2,0.4746815798154872,1.0,train
0.025320565519103555,0,3.3495114972682174,0.0,train
0.16333997346592444,2,0.950743099221679,1.0,train
0.025320565519103555,0,1.336383159893319,0.0,train
0.2254033307585166,0,2.8350637657050566,0.0,train
0.2254033307585166,0,4.68337675616122,0.0,train
0.05131670194948623,0,0.352788364980793,0.0,train
0.05131670194948623,4,0.040406389085585505,1.0,train
0.10557280900008414,0,0.43967425880211897,0.0,train
0.05131670194948623,0,2.3032717219765537,0.0,train
0.16333997346592444,0,3.961808054883086,0.0,train
0.10557280900008414,0,3.301561503796491,0.0,train
0.2254033307585166,4,0.23940163249895205,1.0,train
0.10557280900008414,1,0.9212541644685801,0.0,train
0.2254033307585166,6,0.06123158385886701,1.0,train
0.025320565519103555,0,4.095319821544042,0.0,train
0.05131670194948623,1,1.2817193369895703,0.0,train
0.16333997346592444,0,0.022352179141437167,0.0,train
0.025320565519103555,0,4.450079051646844,0.0,train
0.025320565519103555,1,2.7239596083968443,1.0,train
0.16333997346592444,0,4.778234041979937,0.0,train
0.10557280900008414,0,5.700591178941837,0.0,train
0.2254033307585166,0,2.574579757923294,0.0,train
0.10557280900008414,0,4.351213706856878,0.0,train
0.05131670194948623,0,4.391455654455482,0.0,train
0.10557280900008414,0,2.107203737467314,0.0,train
0.025320565519103555,0,3.7564900842816855,0.0,train
0.16333997346592444,0,2.970890939719152,0.0,train
0.2254033307585166,1,0.26013768861617986,1.0,train
0.2254033307585166,0,4.696391064396832,0.0,train
0.2254033307585166,5,0.03407190143894847,1.0,train
0.16333997346592444,0,5.421240577091298,0.0,train
0.05131670194948623,0,3.019785641035796,0.0,train
0.025320565519103555,0,5.263937452792297,0.0,train
0.16333997346592444,0,3.8917962983002017,0.0,train
0.025320565519103555,0,2.5839976691251945,0.0,train
0.16333997346592444,0,4.780773341409496,0.0,train
0.025320565519103555,0,5.708779869185477,0.0,train
0.10557280900008414,0,5.169841346226683,0.0,train
0.2254033307585166,0,4.786770237495595,0.0,train
0.05131670194948623,0,1.042699736440219,0.0,train
0.025320565519103555,0,5.4355421110264945,0.0,train
0.025320565519103555,1,0.44530409525328274,1.0,train
0.025320565519103555,0,5.361289807137274,0.0,train
0.05131670194948623,0,2.8949779484177176,0.0,train
0.025320565519103555,0,2.8103109118577456,0.0,train
0.05131670194948623,0,0.6967838189853264,0.0,train
0.2254033307585166,0,5.524425944672783,0.0,train
0.025320565519103555,0,3.1007900757916556,0.0,train
0.05131670194948623,0,5.7647271459140494,0.0,train
0.025320565519103555,0,2.7029765524088143,0.0,train
0.16333997346592444,0,3.530977702598684,0.0,train
0.05131670194948623,0,2.6780901584499874,0.0,train
0.2254033307585166,1,1.9006198149191675,1.0,train
0.2254033307585166,4,0.4069213576008641,1.0,train
0.05131670194948623,0,2.711843060025276,0.0,train
0.10557280900008414,1,0.7455832761991878,1.0,train
0.2254033307585166,0,1.9130078293172423,0.0,train
0.10557280900008414,0,2.2652711795840963,0.0,train
0.2254033307585166,0,1.4565548740762924,0.0,train
0.05131670194948623,0,1.937886269984264,0.0,train
0.10557280900008414,0,3.3512013217104286,0.0,train
0.025320565519103555,0,0.5751522235075444,0.0,train
0.10557280900008414,1,0.1578755330954035,1.0,train
0.2254033307585166,2,0.27308834181335123,1.0,train
0.10557280900008414,1,0.7644992862499287,0.0,train
0.025320565519103555,0,3.3043713264563026,0.0,train
0.10557280900008414,0,5.0181003157817745,0.0,train
0.2254033307585166,0,5.605980734683794,0.0,train
0.10557280900008414,0,3.363096632613516,0.0,train
0.10557280900008414,0,0.6685537162713893,0.0,train
0.05131670194948623,1,0.008146904801673323,1.0,train
0.16333997346592444,0,0.35564263772548443,0.0,train
0.2254033307585166,1,0.08628883577171131,0.0,train
0.025320565519103555,0,1.527625658041541,0.0,train
0.16333997346592444,0,3.42833840661289,0.0,train
0.025320565519103555,0,4.003804136147475,0.0,train
0.025320565519103555,0,1.6012161985807456,0.0,train
0.16333997346592444,6,0.0326720836678189,1.0,train
0.16333997346592444,0,0.08663381575017648,0.0,train
0.16333997346592444,1,0.408891257341534,1.0,train
0.16333997346592444,0,4.054249376183273,0.0,train
0.10557280900008414,1,0.11326832296182134,1.0,train
0.025320565519103555,0,3.817370713876058,0.0,train
0.16333997346592444,0,5.122810077372862,0.0,train
0.2254033307585166,0,3.8993805264956065,0.0,train
0.025320565519103555,0,1.2085698079693805,0.0,train
0.16333997346592444,0,2.1914670943735803,0.0,train
0.10557280900008414,0,1.5041675229497644,0.0,train
0.10557280900008414,0,4.540934016641542,0.0,train
0.05131670194948623,0,4.323612860810874,0.0,train
0.025320565519103555,0,3.4752065767232603,0.0,train
0.16333997346592444,0,1.6232875579881163,0.0,train
0.16333997346592444,0,1.295420895231146,0.0,train
0.025320565519103555,0,0.8508032747012477,0.0,train
0.16333997346592444,0,3.6796762184516334,0.0,train
0.16333997346592444,1,0.7386830711077719,1.0,train
0.025320565519103555,0,1.074684228493107,0.0,train
0.10557280900008414,1,1.052855653032912,1.0,train
0.10557280900008414,0,4.789353917532273,0.0,train
0.10557280900008414,0,1.5226056987940575,0.0,train
0.16333997346592444,0,4.835939068175347,0.0,train
0.2254033307585166,0,4.645426861499952,0.0,train
0.2254033307585166,0,3.4486960426598796,0.0,train
0.10557280900008414,0,4.367807685373693,0.0,train
0.10557280900008414,1,1.1735689286352353,1.0,train
0.05131670194948623,0,3.481338667992379,0.0,train
0.025320565519103555,0,2.5653203139992113,0.0,train
0.16333997346592444,0,3.265621530168671,0.0,train
0.2254033307585166,10,0.0009176011773825188,1.0,train
0.2254033307585166,1,0.20988279934068962,1.0,train
0.05131670194948623,0,4.114755141910655,0.0,train
0.10557280900008414,2,0.21003582417910144,1.0,train
0.2254033307585166,1,0.3024749979518908,1.0,train
0.16333997346592444,0,3.3879358002612268,0.0,train
0.16333997346592444,1,0.8291747980450191,1.0,train
0.16333997346592444,0,3.1119011995484596,0.0,train
0.16333997346592444,0,3.4993049840482704,0.0,train
0.10557280900008414,0,4.946290523103466,0.0,train
0.025320565519103555,0,0.9849169259111041,0.0,train
0.2254033307585166,4,0.10536404073157585,1.0,train
0.2254033307585166,0,4.934502911664584,0.0,train
0.16333997346592444,1,0.6208742656779533,1.0,train
0.2254033307585166,0,3.387980255857955,0.0,train
0.05131670194948623,0,0.09537122046225988,0.0,train
0.16333997346592444,0,5.181198826620981,0.0,train
0.05131670194948623,0,5.633963983491243,0.0,train
0.05131670194948623,0,5.140319418526799,0.0,train
0.2254033307585166,0,4.644804844189806,0.0,train
0.16333997346592444,0,0.5462654991513911,0.0,train
0.10557280900008414,0,2.2695337762899666,0.0,train
0.16333997346592444,0,1.280706315477376,0.0,train
0.10557280900008414,0,1.3681639269398516,0.0,train
0.05131670194948623,0,5.802226746773553,0.0,train
0.025320565519103555,0,4.302596221902976,0.0,train
0.025320565519103555,0,4.2614846919604,0.0,train
0.2254033307585166,1,0.36060438437795694,0.0,train
0.025320565519103555,0,4.970361669538878,0.0,train
0.10557280900008414,0,0.32165797121839623,0.0,train
0.16333997346592444,0,2.7885533491861088,0.0,train
0.025320565519103555,0,5.7763151079743285,0.0,train
0.025320565519103555,0,5.650856580162802,0.0,train
0.16333997346592444,0,0.4545091664071885,0.0,train
0.025320565519103555,0,4.829277072072076,0.0,train
0.10557280900008414,0,3.686160737668745,0.0,train
0.05131670194948623,0,5.6824680031608485,0.0,train
0.05131670194948623,0,1.208318214053702,0.0,train
0.025320565519103555,0,3.432723265339627,0.0,train
0.2254033307585166,3,0.646048792937869,1.0,train
0.025320565519103555,0,3.549492845318934,0.0,train
0.16333997346592444,1,1.553738139566288,1.0,train
0.10557280900008414,0,2.415998796044251,0.0,train
0.16333997346592444,1,1.7211585169429053,1.0,train
0.05131670194948623,0,3.0271735845607877,0.0,train
0.10557280900008414,1,1.0537277494980535,1.0,train
0.2254033307585166,0,3.405479111196545,0.0,train
0.10557280900008414,1,0.21021117074726395,1.0,train
0.10557280900008414,0,1.4272162916993563,0.0,train
0.2254033307585166,0,4.516146334027152,0.0,train
0.025320565519103555,0,3.3653467419008782,0.0,train
0.05131670194948623,0,3.8389105203152,0.0,train
0.2254033307585166,0,1.5938161357878522,0.0,train
0.16333997346592444,0,3.742694348244733,0.0,train
0.16333997346592444,1,1.4005110092061683,0.0,train
0.05131670194948623,0,5.417556393105597,0.0,train
0.10557280900008414,0,2.1284397304279707,0.0,train
0.05131670194948623,0,0.20595128846015354,0.0,train
0.025320565519103555,0,0.23290427539950476,0.0,train
0.05131670194948623,0,1.5301038700971454,0.0,train
0.05131670194948623,0,3.1852228819373956,0.0,train
0.16333997346592444,0,4.752548351356716,0.0,train
0.2254033307585166,0,5.412602581503439,0.0,train
0.05131670194948623,0,0.3076407366270304,0.0,train
0.10557280900008414,0,4.485583447173466,0.0,train
0.2254033307585166,0,2.6454094144303655,0.0,train
0.05131670194948623,2,0.2786771828109842,1.0,train
0.16333997346592444,1,0.03234732001564577,1.0,train
0.16333997346592444,0,3.7738594837827844,0.0,train
0.10557280900008414,0,5.4707629657476,0.0,train
0.025320565519103555,0,1.4545473252999839,0.0,train
0.05131670194948623,3,0.014462151004856429,1.0,train
0.10557280900008414,0,2.708107724562317,0.0,train
0.16333997346592444,1,0.048718834742399686,0.0,train
0.10557280900008414,4,0.0002551910827078227,1.0,train
0.10557280900008414,0,2.7508161608194097,0.0,train
0.2254033307585166,0,4.940641273110566,0.0,train
0.2254033307585166,1,2.0993913988699004,1.0,train
0.05131670194948623,0,1.7737110233118671,0.0,train
0.2254033307585166,6,0.00624211599214472,1.0,train
0.2254033307585166,0,4.945888416325138,0.0,train
0.05131670194948623,0,3.387568093300768,0.0,train
0.05131670194948623,0,1.877873634396717,0.0,train
0.16333997346592444,1,0.5611282619928615,1.0,train
0.10557280900008414,0,5.158408488284649,0.0,train
0.05131670194948623,0,0.5233308022190444,0.0,train
0.10557280900008414,2,1.115678078879335,1.0,train
0.10557280900008414,0,3.580208061852365,0.0,train
0.10557280900008414,0,0.8480081782567843,0.0,train
0.2254033307585166,0,3.837128177267357,0.0,train
