index,label,set
20336,3,train
9824,1,train
23085,0,train
9910,1,train
28952,1,train
21643,1,train
16842,2,train
8867,1,train
10737,2,train
25174,3,train
16332,0,train
29101,3,train
9525,1,train
27156,2,train
23551,1,train
20716,3,train
9213,3,train
19594,3,train
11381,3,train
12961,1,train
17563,0,train
24183,3,train
20614,1,train
14056,3,train
22070,3,train
20499,0,train
23827,4,train
28626,1,train
18079,4,train
27361,4,train
29720,4,train
14684,1,train
22579,3,train
27293,3,train
17233,4,train
5621,2,train
17188,2,train
3225,3,train
11495,2,train
28096,4,train
28730,1,train
21266,3,train
29675,3,train
2334,1,train
726,3,train
7733,2,train
16209,0,train
10952,2,train
16437,1,train
17322,1,train
18709,3,train
19924,4,train
4590,1,train
27447,3,train
20668,0,train
18518,4,train
10854,2,train
19734,0,train
12125,4,train
17609,3,train
18721,4,train
11462,0,train
22799,0,train
25196,2,train
18513,4,train
10330,1,train
28017,4,train
28728,1,train
16486,1,train
469,4,train
9575,0,train
15647,0,train
13044,0,train
5293,4,train
23300,3,train
19373,2,train
21667,1,train
5315,0,train
12825,4,train
13162,1,train
16135,2,train
25516,3,train
16623,4,train
15073,0,train
27110,1,train
1591,4,train
12666,1,train
13549,3,train
2176,0,train
1637,0,train
4471,4,train
9119,2,train
23806,4,train
18323,0,train
10505,3,train
23886,1,train
4952,2,train
22062,2,train
9506,1,train
2891,4,train
25037,4,train
645,2,train
10742,0,train
23667,1,train
20748,3,train
26393,2,train
14253,3,train
11725,2,train
29308,2,train
1226,3,train
4611,2,train
26535,3,train
1721,0,train
9482,1,train
219,0,train
27980,1,train
28387,2,train
28004,1,train
27768,0,train
20293,1,train
5930,3,train
24563,2,train
9811,0,train
13303,4,train
22572,0,train
20618,2,train
10698,1,train
21712,3,train
27421,2,train
7173,1,train
12942,0,train
16897,4,train
3506,0,train
9031,4,train
10966,2,train
16667,3,train
6580,0,train
5800,4,train
29454,1,train
7904,2,train
1060,0,train
16917,2,train
25723,1,train
3288,2,train
10306,1,train
3439,1,train
6599,3,train
11344,0,train
18942,0,train
9907,0,train
15057,4,train
14524,2,train
2900,3,train
2035,3,train
25024,1,train
22210,1,train
12477,0,train
5961,2,train
21531,0,train
9288,4,train
5902,2,train
4246,2,train
15236,1,train
10393,2,train
1399,0,train
21406,3,train
22335,2,train
8496,4,train
15091,2,train
12478,1,train
14696,0,train
26619,3,train
15164,2,train
5471,2,train
4351,4,train
16580,2,train
807,1,train
16435,1,train
24685,0,train
17707,2,train
8742,4,train
29576,1,train
12750,0,train
24322,4,train
13744,3,train
10878,0,train
3856,0,train
13709,1,train
10923,1,train
15506,1,train
12245,4,train
2256,2,train
4571,3,train
13623,3,train
10599,0,train
11662,3,train
13815,4,train
3944,0,train
24172,0,train
27311,0,train
19559,2,train
29989,4,train
16421,0,train
16142,0,train
19362,3,train
17219,1,train
26728,0,train
21641,1,train
2083,0,train
21611,1,train
7590,4,train
22394,2,train
23574,3,train
12915,1,train
28369,3,train
10444,3,train
6356,3,train
23135,0,train
16463,4,train
9871,1,train
26165,1,train
8919,2,train
16405,1,train
9778,3,train
28075,2,train
9441,2,train
18359,4,train
17407,2,train
12245,4,train
25174,3,train
26573,1,train
24163,0,train
7095,2,train
17887,1,train
7554,1,train
10829,3,train
9832,4,train
3261,0,train
1772,2,train
9374,2,train
2534,2,train
9506,1,train
2136,4,train
16494,0,train
4745,0,train
7098,4,train
23049,3,train
29853,4,train
27328,1,train
11079,4,train
15935,4,train
15350,4,train
28150,4,train
19232,2,train
14534,2,train
26596,0,train
7993,2,train
976,4,train
11034,1,train
13824,2,train
4295,4,train
644,4,train
22090,0,train
29552,0,train
21619,2,train
1091,2,train
23814,1,train
10220,2,train
17498,2,train
10260,4,train
10829,3,train
15284,3,train
18633,2,train
29579,4,train
6556,0,train
19487,3,train
1094,2,train
26726,0,train
12783,3,train
10324,4,train
29305,4,train
13675,4,train
12092,2,train
26296,4,train
13935,2,train
27496,0,train
23954,3,train
23844,4,train
13709,1,train
28032,1,train
14928,2,train
11732,3,train
3581,2,train
16630,1,train
25269,4,train
4940,0,train
3928,2,train
7871,3,train
22018,4,train
7128,4,train
12566,0,train
26255,0,train
23392,3,train
8845,1,train
9987,1,train
29893,3,train
7167,3,train
8362,2,train
7223,2,train
13633,1,train
16405,1,train
6410,4,train
28559,1,train
1036,2,train
2551,3,train
24581,0,train
9335,2,train
5488,3,train
8537,3,train
19508,3,train
15465,3,train
13312,2,train
7910,4,train
13569,4,train
22838,2,train
16557,3,train
23729,3,train
27871,1,train
1758,2,train
20709,0,train
15772,1,train
24782,1,train
14370,3,train
22,1,train
7496,3,train
23743,1,train
536,1,train
2050,3,train
17220,4,train
29885,0,train
25797,3,train
2290,4,train
20459,1,train
4068,3,train
10546,1,train
18210,4,train
5787,0,train
6402,0,train
18039,4,train
11343,1,train
11836,3,train
14072,4,train
14995,0,train
3250,2,train
17403,2,train
26735,0,train
15757,3,train
25439,4,train
7467,1,train
11357,1,train
7721,0,train
17486,2,train
8352,0,train
15079,4,train
10747,0,train
17199,3,train
18007,2,train
3969,4,train
14946,1,train
15903,4,train
7075,1,train
24300,2,train
16384,0,train
11295,2,train
6276,2,train
19864,0,train
21126,1,train
19448,3,train
9670,4,train
20357,0,train
26262,3,train
784,2,train
10070,1,train
27712,0,train
22433,1,train
28168,0,train
671,3,train
10919,2,train
12365,0,train
29044,3,train
12626,3,train
16699,1,train
26974,0,train
24242,0,train
8663,0,train
13905,3,train
19428,1,train
23047,3,train
20316,4,train
17706,1,train
26690,1,train
23610,4,train
10331,1,train
4882,2,train
22837,3,train
21576,2,train
5741,2,train
27262,3,train
12729,4,train
7615,0,train
29299,4,train
26081,2,train
7308,4,train
103,0,train
5475,1,train
21619,2,train
15953,2,train
23405,3,train
27924,3,train
14030,2,train
13015,4,train
1301,1,train
19356,0,train
10523,1,train
26463,4,train
10331,1,train
22653,3,train
12052,4,train
24192,4,train
18874,2,train
25590,0,train
6443,3,train
14576,1,train
6620,1,train
29743,3,train
12085,1,train
