theta,m,t,delta,set
0.10000000000000009,0,0.7919681777187373,0.0,train
0.10000000000000009,0,3.3405157957834,0.0,train
0.30000000000000004,0,4.205970495054849,0.0,train
0.30000000000000004,0,2.2872395317681598,0.0,train
0.04999999999999993,0,1.0125614208044489,0.0,train
0.30000000000000004,0,2.8531326441019518,0.0,train
0.30000000000000004,2,0.11292069273179708,1.0,train
0.04999999999999993,0,5.62702180431896,0.0,train
0.10000000000000009,0,2.4304515460074345,0.0,train
0.30000000000000004,6,0.08539495911991478,1.0,train
0.10000000000000009,0,4.043734303198435,0.0,train
0.10000000000000009,0,2.4465768300267583,0.0,train
0.19999999999999996,0,1.7758983905832704,0.0,train
0.04999999999999993,0,0.03608474826677166,0.0,train
0.04999999999999993,1,0.021472986879571096,1.0,train
0.10000000000000009,0,2.0437196947413483,0.0,train
0.04999999999999993,0,2.65641383670041,0.0,train
0.19999999999999996,1,0.372846938753259,1.0,train
0.10000000000000009,0,3.8286041017699315,0.0,train
0.19999999999999996,0,0.22108702918812306,0.0,train
0.30000000000000004,1,0.08266431845511425,1.0,train
0.30000000000000004,11,0.056813494842538295,1.0,train
0.04999999999999993,0,5.815028144223114,0.0,train
0.30000000000000004,5,0.010321308284861034,1.0,train
0.30000000000000004,0,3.1871636466037594,0.0,train
0.19999999999999996,0,4.517024003557754,0.0,train
0.04999999999999993,0,0.18740907760744574,0.0,train
0.4,0,0.013691572798935514,0.0,train
0.4,0,4.041084384842246,0.0,train
0.19999999999999996,2,0.34992682027773025,1.0,train
0.04999999999999993,0,4.388511468829262,0.0,train
0.30000000000000004,0,1.3926483339300355,0.0,train
0.10000000000000009,0,0.5396013470947849,0.0,train
0.30000000000000004,1,0.8862913199075493,1.0,train
0.04999999999999993,0,0.08307739905228217,0.0,train
0.04999999999999993,0,5.707606532714999,0.0,train
0.04999999999999993,0,3.263320172169344,0.0,train
0.19999999999999996,0,4.659770506204993,0.0,train
0.4,0,3.1242472855706467,0.0,train
0.30000000000000004,5,0.14573761571376487,1.0,train
0.30000000000000004,0,0.12095827635450807,0.0,train
0.10000000000000009,0,2.668502288445935,0.0,train
0.10000000000000009,0,0.9328741027806375,0.0,train
0.04999999999999993,0,3.2169921782982964,0.0,train
0.10000000000000009,0,5.22915761233506,0.0,train
0.19999999999999996,0,3.944755905091056,0.0,train
0.4,4,0.22009700108691171,1.0,train
0.30000000000000004,21,0.0981083202383355,1.0,train
0.10000000000000009,0,4.354030580095532,0.0,train
0.30000000000000004,0,2.7790124457749332,0.0,train
0.10000000000000009,0,1.5051029926144024,0.0,train
0.04999999999999993,0,3.222716391728068,0.0,train
0.4,1,0.1824215439846122,0.0,train
0.30000000000000004,0,0.7318613558727751,0.0,train
0.4,2,0.4823672543074682,1.0,train
0.10000000000000009,0,5.93522771725526,0.0,train
0.4,0,3.753954846229983,0.0,train
0.30000000000000004,2,0.15914230255796866,1.0,train
0.04999999999999993,0,4.835204162844521,0.0,train
0.4,9,0.04127534995847876,1.0,train
0.04999999999999993,0,2.3707255415015887,0.0,train
0.10000000000000009,2,0.10660115829706619,1.0,train
0.10000000000000009,0,4.595783035448537,0.0,train
0.30000000000000004,1,0.28272620012166466,1.0,train
0.30000000000000004,3,0.5148320893134347,1.0,train
0.4,0,5.153848801534826,0.0,train
0.19999999999999996,1,0.4404543394334022,1.0,train
0.10000000000000009,0,5.807041322632145,0.0,train
0.30000000000000004,1,0.10055273558294817,1.0,train
0.4,0,3.1665956394682713,0.0,train
0.30000000000000004,1,0.16828157105350927,1.0,train
0.30000000000000004,0,4.254856213931516,0.0,train
0.10000000000000009,0,5.315574652845267,0.0,train
0.4,0,1.9301072699820996,0.0,train
0.19999999999999996,5,0.05079527911514189,1.0,train
0.10000000000000009,0,1.7343711271764455,0.0,train
0.30000000000000004,0,4.495437207490266,0.0,train
0.10000000000000009,0,2.4583953976405883,0.0,train
0.10000000000000009,0,0.17236097824401453,0.0,train
0.19999999999999996,0,5.419911874530101,0.0,train
0.10000000000000009,0,1.4969917604763436,0.0,train
0.30000000000000004,0,4.068067299575413,0.0,train
0.10000000000000009,0,5.8810380002306,0.0,train
0.4,0,0.7299749086841298,0.0,train
0.4,0,0.08075258848028954,0.0,train
0.04999999999999993,0,0.3753585393997496,0.0,train
0.04999999999999993,0,2.3744565632468113,0.0,train
0.30000000000000004,0,5.856534959021391,0.0,train
0.19999999999999996,0,0.7177201431557876,0.0,train
0.30000000000000004,0,3.7397994366094283,0.0,train
0.19999999999999996,0,2.943875924024343,0.0,train
0.19999999999999996,2,0.07821127449611844,1.0,train
0.10000000000000009,0,3.873422085372905,0.0,train
0.04999999999999993,0,0.4004768060748254,0.0,train
0.04999999999999993,0,1.1325031701022599,0.0,train
0.04999999999999993,0,0.5728976141885345,0.0,train
0.30000000000000004,0,1.3321962119445705,0.0,train
0.4,3,0.3650354802466817,1.0,train
0.04999999999999993,0,1.9166478720493927,0.0,train
0.04999999999999993,0,1.0927763904384071,0.0,train
0.30000000000000004,0,2.4915726206380953,0.0,train
0.19999999999999996,0,5.76784210892516,0.0,train
0.30000000000000004,0,1.7148814131050671,0.0,train
0.30000000000000004,2,0.5733577133446751,1.0,train
0.10000000000000009,1,1.0880071552502186,1.0,train
0.19999999999999996,0,2.118358924875916,0.0,train
0.10000000000000009,0,1.2939642090359176,0.0,train
0.10000000000000009,0,5.475563385335277,0.0,train
0.04999999999999993,0,2.510862775078428,0.0,train
0.30000000000000004,0,5.555140626954107,0.0,train
0.04999999999999993,0,5.763469397724922,0.0,train
0.19999999999999996,3,0.26024627797297706,1.0,train
0.04999999999999993,0,4.988876964905263,0.0,train
0.30000000000000004,0,2.360301744151441,0.0,train
0.19999999999999996,0,3.031773908666752,0.0,train
0.10000000000000009,0,2.5534657098277096,0.0,train
0.30000000000000004,0,2.5827615984863623,0.0,train
0.04999999999999993,0,5.425460083714771,0.0,train
0.4,0,1.285484319223976,0.0,train
0.10000000000000009,0,0.7225190073210814,0.0,train
0.10000000000000009,0,2.7377380779649214,0.0,train
0.30000000000000004,0,5.934887558818485,0.0,train
0.19999999999999996,1,0.32044092765956883,1.0,train
0.4,0,1.971723149831625,0.0,train
0.4,8,0.10981114209475505,1.0,train
0.30000000000000004,0,0.35621664733633285,0.0,train
0.30000000000000004,0,0.7664585990477863,0.0,train
0.4,2,0.3469845682443477,1.0,train
0.30000000000000004,0,5.950556393654795,0.0,train
0.19999999999999996,2,0.2587855991770177,1.0,train
0.19999999999999996,0,5.8228384006676785,0.0,train
0.4,2,0.0733273736541576,1.0,train
0.19999999999999996,0,3.5261431453393595,0.0,train
0.30000000000000004,0,4.725160567321012,0.0,train
0.19999999999999996,0,5.972401535822332,0.0,train
0.04999999999999993,1,0.5449329781238891,1.0,train
0.19999999999999996,8,0.03198540990726902,1.0,train
0.19999999999999996,0,5.871638444525779,0.0,train
0.10000000000000009,0,0.23975756324035724,0.0,train
0.04999999999999993,0,2.6894369474996624,0.0,train
0.10000000000000009,0,1.7742629242663859,0.0,train
0.30000000000000004,5,0.20541526434905452,1.0,train
