index,label,set
19399,2,train
11750,4,train
24115,3,train
15615,0,train
17566,3,train
9698,0,train
9113,3,train
2144,4,train
21653,2,train
26632,1,train
23208,2,train
14655,2,train
13279,1,train
19091,0,train
23809,4,train
11678,3,train
1418,3,train
2641,0,train
7978,1,train
2586,2,train
26195,0,train
4561,2,train
19795,2,train
27541,0,train
27663,3,train
11004,0,train
19078,3,train
14786,4,train
12,4,train
12984,0,train
21253,1,train
670,3,train
7601,0,train
28684,2,train
23509,2,train
1231,0,train
20824,4,train
19234,1,train
104,3,train
21868,0,train
10831,2,train
22462,4,train
12952,0,train
22082,2,train
17295,3,train
15771,0,train
635,0,train
1695,2,train
9511,3,train
11249,0,train
22142,4,train
10002,3,train
19585,2,train
5923,0,train
15528,4,train
14104,3,train
8348,2,train
23250,2,train
14062,2,train
403,3,train
17033,3,train
22876,4,train
13417,1,train
10381,4,train
23933,4,train
6485,3,train
21606,0,train
2030,3,train
17408,1,train
29054,4,train
7042,3,train
16420,2,train
5257,3,train
26409,2,train
15585,2,train
21734,3,train
24780,3,train
6861,1,train
20736,1,train
10387,1,train
16744,1,train
1292,4,train
26810,2,train
19665,0,train
1609,3,train
29326,3,train
22480,2,train
24773,3,train
27418,2,train
2948,0,train
2200,2,train
6581,3,train
9278,4,train
26845,0,train
8921,0,train
16663,0,train
5095,4,train
13060,0,train
19542,2,train
14887,3,train
25820,0,train
9491,0,train
4577,3,train
15010,1,train
173,3,train
8866,4,train
20264,1,train
15687,4,train
26693,3,train
957,2,train
20959,1,train
1299,1,train
26198,2,train
7572,4,train
4378,1,train
13207,0,train
22319,4,train
5646,4,train
6979,0,train
29097,3,train
26622,0,train
24940,2,train
11342,3,train
23170,0,train
1560,2,train
26597,1,train
12582,1,train
29698,4,train
28050,4,train
14107,1,train
16744,1,train
6207,3,train
18321,0,train
13985,2,train
16737,0,train
15407,1,train
19343,2,train
16975,0,train
16008,3,train
6309,3,train
21431,2,train
16837,4,train
3472,1,train
29516,4,train
13946,1,train
7967,4,train
20944,1,train
12733,1,train
29941,0,train
25152,1,train
19354,3,train
7821,3,train
22746,4,train
5468,0,train
12564,2,train
15040,3,train
20644,4,train
16229,4,train
21319,1,train
25286,2,train
4427,1,train
18148,1,train
2334,1,train
10612,3,train
26768,3,train
21159,2,train
10739,2,train
6083,4,train
29332,3,train
7443,1,train
4788,1,train
6832,2,train
638,2,train
27337,4,train
6411,0,train
29400,1,train
22287,3,train
28397,3,train
26108,1,train
11681,0,train
10027,4,train
761,2,train
5099,4,train
18258,3,train
13240,0,train
1621,2,train
3885,2,train
5008,2,train
9864,1,train
20626,3,train
27047,0,train
22439,1,train
26227,3,train
18708,1,train
8096,3,train
29129,2,train
29460,4,train
20601,4,train
24103,3,train
8292,2,train
28234,2,train
1483,0,train
11780,2,train
21469,3,train
1249,3,train
23410,3,train
16315,2,train
25614,3,train
21824,1,train
19623,0,train
9895,1,train
13413,1,train
28094,4,train
14114,4,train
17899,1,train
28146,3,train
11093,3,train
3766,0,train
28454,4,train
535,2,train
28862,4,train
24466,1,train
27594,1,train
13590,2,train
28936,4,train
12216,0,train
26330,0,train
27750,3,train
7928,1,train
12484,2,train
7542,1,train
24982,4,train
19279,2,train
2207,2,train
26573,1,train
4106,4,train
27757,4,train
