theta,m,t,delta,set
0.10536051565782635,1,0.44478602146192686,1.0,train
1.2039728043259361,1,0.1594494533682802,0.0,train
0.10536051565782635,0,3.9590446168469247,0.0,train
0.10536051565782635,0,4.632810275941561,0.0,train
1.2039728043259361,1,1.4770274454749301,1.0,train
0.3566749439387324,0,5.145393124219125,0.0,train
2.3025850929940455,3,0.22577500443377507,1.0,train
0.3566749439387324,0,3.489137030212467,0.0,train
0.3566749439387324,0,1.5856630915726808,0.0,train
0.10536051565782635,1,0.1891696806292648,1.0,train
0.6931471805599453,0,4.8648800279243645,0.0,train
0.6931471805599453,1,0.41656122450887967,1.0,train
0.10536051565782635,1,0.6004400889280328,1.0,train
1.2039728043259361,1,1.2644330959977668,1.0,train
0.6931471805599453,2,0.35766232451566876,1.0,train
0.10536051565782635,0,3.6892800787134816,0.0,train
1.2039728043259361,1,0.7619000103559745,1.0,train
0.3566749439387324,0,4.965886277926719,0.0,train
2.3025850929940455,1,1.8211236554719155,1.0,train
2.3025850929940455,1,0.25980255413303005,1.0,train
0.6931471805599453,1,1.8731886169120873,1.0,train
0.6931471805599453,1,0.3544361853486502,1.0,train
0.6931471805599453,0,3.5952871472737087,0.0,train
1.2039728043259361,2,0.2890166950994716,1.0,train
0.3566749439387324,0,1.514776018276789,0.0,train
0.6931471805599453,1,1.0811288111291324,1.0,train
0.3566749439387324,0,4.042540962387207,0.0,train
0.6931471805599453,0,5.7617716123728115,0.0,train
1.2039728043259361,2,0.9751493865038751,1.0,train
1.2039728043259361,0,4.038221855019847,0.0,train
0.10536051565782635,0,2.6067021141212394,0.0,train
0.6931471805599453,0,2.8132163859220336,0.0,train
0.6931471805599453,0,5.722907252756998,0.0,train
1.2039728043259361,0,0.42863413982634735,0.0,train
2.3025850929940455,4,0.08485761806078508,1.0,train
0.3566749439387324,0,4.926726580713174,0.0,train
1.2039728043259361,1,1.9864761282292769,1.0,train
0.6931471805599453,0,5.023628491875722,0.0,train
0.10536051565782635,0,2.5647865483048964,0.0,train
1.2039728043259361,3,0.18308489125891145,1.0,train
0.10536051565782635,0,1.4468478178571578,0.0,train
0.10536051565782635,1,1.496624357979598,1.0,train
2.3025850929940455,1,1.1439451356104045,1.0,train
1.2039728043259361,1,0.06760713691410092,0.0,train
1.2039728043259361,2,0.007586851145410901,1.0,train
0.6931471805599453,0,3.957705986274591,0.0,train
0.10536051565782635,0,3.111109556984789,0.0,train
1.2039728043259361,2,1.5657660843465409,1.0,train
0.6931471805599453,0,0.5345420818270001,0.0,train
0.10536051565782635,0,1.4805733418478397,0.0,train
0.6931471805599453,0,4.963009650453369,0.0,train
2.3025850929940455,1,0.3076112382260669,1.0,train
0.3566749439387324,0,1.797595613750938,0.0,train
0.6931471805599453,0,5.6382209175594635,0.0,train
0.10536051565782635,0,5.093818776033375,0.0,train
2.3025850929940455,2,0.2742666728486345,1.0,train
0.6931471805599453,0,1.5707701383582269,0.0,train
0.3566749439387324,0,1.8327628007880958,0.0,train
0.10536051565782635,0,3.1355772479855855,0.0,train
0.3566749439387324,0,5.64286984654865,0.0,train
0.3566749439387324,1,1.0550279954948043,1.0,train
2.3025850929940455,1,0.7917204577616211,1.0,train
2.3025850929940455,3,0.05159490532518204,1.0,train
0.3566749439387324,0,1.8136369595763802,0.0,train
0.3566749439387324,0,5.700305443131664,0.0,train
1.2039728043259361,0,4.424618526120649,0.0,train
0.10536051565782635,0,5.76528692834678,0.0,train
1.2039728043259361,2,0.20209288714639898,1.0,train
0.10536051565782635,0,1.783444994981325,0.0,train
0.6931471805599453,1,0.89663895519287,0.0,train
1.2039728043259361,2,0.021366710760322705,1.0,train
0.3566749439387324,0,2.55709012251254,0.0,train
1.2039728043259361,0,5.006513549664353,0.0,train
1.2039728043259361,1,0.3439351383544006,1.0,train
0.10536051565782635,0,4.60479832827513,0.0,train
0.10536051565782635,0,3.3756117562392114,0.0,train
2.3025850929940455,3,0.028165177387319044,1.0,train
1.2039728043259361,1,1.0465636838573058,1.0,train
0.10536051565782635,0,2.827866293583244,0.0,train
0.3566749439387324,1,0.19953369661139367,1.0,train
2.3025850929940455,1,0.10753123137668064,1.0,train
0.6931471805599453,1,3.9731677867268944,1.0,train
0.6931471805599453,1,0.802489481370949,1.0,train
2.3025850929940455,1,0.9443593532811723,1.0,train
0.10536051565782635,0,3.870652791717415,0.0,train
0.6931471805599453,2,0.022247349220343618,1.0,train
2.3025850929940455,2,0.8733400497837481,1.0,train
2.3025850929940455,0,3.34281999144712,0.0,train
0.10536051565782635,0,2.514962897582163,0.0,train
0.3566749439387324,0,2.0949350695943796,0.0,train
0.10536051565782635,0,2.157057159859373,0.0,train
2.3025850929940455,0,5.393769202249008,0.0,train
1.2039728043259361,2,0.007712887583661769,1.0,train
2.3025850929940455,2,0.9760481728532544,1.0,train
0.3566749439387324,0,1.909319456794547,0.0,train
1.2039728043259361,2,0.8411581237710165,1.0,train
0.10536051565782635,0,1.222079490406689,0.0,train
0.3566749439387324,0,3.506372958282074,0.0,train
0.10536051565782635,0,2.546424155010579,0.0,train
0.6931471805599453,1,0.5038713380105475,1.0,train
2.3025850929940455,3,0.053131856104444146,1.0,train
0.3566749439387324,1,0.2867335513611235,1.0,train
2.3025850929940455,2,0.6543095618877212,1.0,train
0.3566749439387324,0,3.8918721035100887,0.0,train
2.3025850929940455,3,0.11952337440776246,1.0,train
0.10536051565782635,0,1.8381228864661516,0.0,train
0.6931471805599453,1,3.4193053584325908,1.0,train
0.10536051565782635,0,2.562908687998835,0.0,train
0.3566749439387324,0,3.301195353606838,0.0,train
0.10536051565782635,1,0.2647935751111166,1.0,train
2.3025850929940455,1,0.08775881437816575,1.0,train
0.10536051565782635,0,5.37871887710968,0.0,train
0.10536051565782635,0,3.5720719527850413,0.0,train
0.6931471805599453,0,1.4991092238319823,0.0,train
0.3566749439387324,0,1.3193783756827697,0.0,train
1.2039728043259361,0,2.398662176293813,0.0,train
0.10536051565782635,0,0.8234824552775764,0.0,train
0.6931471805599453,1,1.892676411774944,1.0,train
1.2039728043259361,3,0.04518015006881249,1.0,train
0.10536051565782635,0,5.873069773015011,0.0,train
0.10536051565782635,0,4.45738742405819,0.0,train
1.2039728043259361,1,1.632003481134135,1.0,train
0.3566749439387324,0,0.4874191733653517,0.0,train
1.2039728043259361,3,0.48801898212850214,1.0,train
1.2039728043259361,0,0.8077582332067577,0.0,train
0.6931471805599453,0,1.2199378363509785,0.0,train
1.2039728043259361,0,2.9247796069255725,0.0,train
0.6931471805599453,2,0.06393368581732309,1.0,train
0.10536051565782635,0,5.015064879693344,0.0,train
0.3566749439387324,1,2.406567355059843,1.0,train
0.6931471805599453,1,0.33246966770704156,1.0,train
1.2039728043259361,1,1.330782038236143,1.0,train
0.3566749439387324,0,4.800352703243201,0.0,train
0.10536051565782635,0,2.928875699735034,0.0,train
0.10536051565782635,0,5.836326993658635,0.0,train
1.2039728043259361,1,0.20711714041364027,0.0,train
0.10536051565782635,0,3.2381344401367365,0.0,train
1.2039728043259361,1,0.056907861750751236,1.0,train
2.3025850929940455,2,0.6258373538933192,1.0,train
1.2039728043259361,0,0.17914450826789485,0.0,train
0.6931471805599453,1,0.6320593293781754,1.0,train
2.3025850929940455,2,0.19935568483375202,1.0,train
0.6931471805599453,0,1.537520513801404,0.0,train
0.10536051565782635,0,4.105564990242662,0.0,train
0.3566749439387324,0,5.637817126397092,0.0,train
1.2039728043259361,1,0.39272623176503824,1.0,train
0.3566749439387324,0,1.3079324955645137,0.0,train
0.3566749439387324,0,5.680230292566625,0.0,train
0.3566749439387324,1,1.1916187698583773,1.0,train
0.10536051565782635,0,0.8794697123686241,0.0,train
0.6931471805599453,0,1.8112632800490385,0.0,train
2.3025850929940455,3,0.09894618145699097,0.0,train
1.2039728043259361,2,0.6206874196878199,1.0,train
0.10536051565782635,0,4.411359206030139,0.0,train
0.3566749439387324,0,0.557512490821972,0.0,train
0.6931471805599453,0,0.2779214075449654,0.0,train
1.2039728043259361,1,0.0018750235381937927,1.0,train
0.6931471805599453,1,3.5464802267506217,1.0,train
1.2039728043259361,2,0.1221736495181724,1.0,train
0.3566749439387324,0,0.15484158363113543,0.0,train
0.10536051565782635,0,4.747904689056794,0.0,train
0.10536051565782635,1,0.5077180886612231,1.0,train
0.10536051565782635,0,5.179444395651464,0.0,train
0.6931471805599453,2,0.3938938621291275,1.0,train
0.3566749439387324,0,3.316719885008915,0.0,train
2.3025850929940455,0,5.604445764688537,0.0,train
2.3025850929940455,5,0.261731407888018,1.0,train
0.10536051565782635,0,5.578289504018183,0.0,train
1.2039728043259361,0,0.45827137113085414,0.0,train
0.10536051565782635,1,0.8186342118130824,1.0,train
1.2039728043259361,1,3.5274007371731306,1.0,train
0.6931471805599453,1,1.3290507402310916,1.0,train
0.10536051565782635,0,0.1789255796915552,0.0,train
1.2039728043259361,2,0.34286297564654983,1.0,train
1.2039728043259361,0,0.04442457916657183,0.0,train
2.3025850929940455,4,0.04419061053722301,1.0,train
2.3025850929940455,3,0.1957025407209004,1.0,train
0.10536051565782635,0,1.2375661752123028,0.0,train
2.3025850929940455,5,0.04393988984407517,1.0,train
0.6931471805599453,1,1.3895132176357519,1.0,train
0.10536051565782635,0,4.2407522612102495,0.0,train
0.10536051565782635,0,5.340365118359131,0.0,train
0.10536051565782635,0,0.006471962321822788,0.0,train
0.6931471805599453,1,0.08961467226153386,1.0,train
0.6931471805599453,2,1.3521755904660184,1.0,train
1.2039728043259361,0,0.07683806171810814,0.0,train
0.3566749439387324,0,0.8485507580435594,0.0,train
2.3025850929940455,3,0.5420827058821273,1.0,train
2.3025850929940455,1,0.490133415058974,1.0,train
1.2039728043259361,0,3.5400805501266044,0.0,train
0.10536051565782635,0,4.512450798850303,0.0,train
1.2039728043259361,4,0.17119779847055214,1.0,train
0.10536051565782635,0,4.611840682652679,0.0,train
0.3566749439387324,0,0.2766685587746369,0.0,train
0.3566749439387324,1,0.30036697144764113,0.0,train
0.3566749439387324,1,0.8926870387959108,1.0,train
0.6931471805599453,0,4.016392478925722,0.0,train
0.10536051565782635,0,2.7157191429161323,0.0,train
0.6931471805599453,1,0.0947900170771277,1.0,train
1.2039728043259361,0,5.753612119730588,0.0,train
2.3025850929940455,1,0.21637446808256208,1.0,train
2.3025850929940455,2,0.4506545742218034,1.0,train
0.6931471805599453,1,0.13437603466335932,1.0,train
1.2039728043259361,3,0.2724635117136365,1.0,train
2.3025850929940455,2,0.26162667315686894,1.0,train
1.2039728043259361,1,0.07639420799842768,1.0,train
0.10536051565782635,0,0.13901740518186312,0.0,train
0.6931471805599453,0,3.434146134201005,0.0,train
