theta,m,t,delta,set
0.10536051565782635,0,3.283907658475834,0.0,train
0.05129329438755048,0,2.965193177336784,0.0,train
0.05129329438755048,0,2.047008694803142,0.0,train
0.49999,0,3.404733248078327,0.0,train
0.10536051565782635,0,2.472616156588825,0.0,train
0.22314355131420976,0,3.222970662719184,0.0,train
0.49999,0,2.570634025169266,0.0,train
0.49999,3,0.2502072857914049,1.0,train
0.3566749439387324,0,1.6375143019116245,0.0,train
0.49999,2,0.4015383482235603,1.0,train
0.22314355131420976,4,0.14487766904255725,1.0,train
0.10536051565782635,0,1.6940957483178483,0.0,train
0.05129329438755048,0,2.685222452515899,0.0,train
0.22314355131420976,0,0.9003398562087181,0.0,train
0.05129329438755048,0,1.775808740369625,0.0,train
0.22314355131420976,0,5.793453080036098,0.0,train
0.05129329438755048,0,3.476097896620919,0.0,train
0.3566749439387324,0,4.4690951035573905,0.0,train
0.10536051565782635,0,1.8922204397134825,0.0,train
0.05129329438755048,0,0.21310894264430558,0.0,train
0.49999,0,5.765875905671713,0.0,train
0.3566749439387324,0,3.407052838375396,0.0,train
0.49999,2,0.04003603288511768,1.0,train
0.10536051565782635,0,2.5584014017065195,0.0,train
0.49999,0,1.0674735746058042,0.0,train
0.49999,0,1.3152709868324826,0.0,train
0.05129329438755048,0,5.481511141048658,0.0,train
0.49999,0,4.241054043505052,0.0,train
0.3566749439387324,0,2.1831685133858874,0.0,train
0.05129329438755048,0,2.3344445939171496,0.0,train
0.05129329438755048,0,3.6082043121923855,0.0,train
0.49999,0,3.8428873160720878,0.0,train
0.49999,1,1.2917819221806002,1.0,train
0.05129329438755048,0,0.538180056671117,0.0,train
0.49999,11,0.09866864973400832,1.0,train
0.05129329438755048,0,5.115341250635934,0.0,train
0.10536051565782635,0,2.404392803931577,0.0,train
0.10536051565782635,0,2.1451155745648602,0.0,train
0.49999,0,5.2091111967238914,0.0,train
0.22314355131420976,0,3.4376633668586623,0.0,train
0.3566749439387324,0,1.8429757411414156,0.0,train
0.05129329438755048,0,3.176044893186563,0.0,train
0.22314355131420976,1,0.05280752635755516,1.0,train
0.49999,1,0.9200296629653988,1.0,train
0.49999,0,1.1711263676631332,0.0,train
0.05129329438755048,0,0.03618302533881268,0.0,train
0.10536051565782635,0,1.731246932784851,0.0,train
0.05129329438755048,0,1.2230845478178947,0.0,train
0.10536051565782635,0,2.3462577906596325,0.0,train
0.10536051565782635,0,3.6074653126776752,0.0,train
0.3566749439387324,0,2.3313171161851614,0.0,train
0.22314355131420976,0,4.407002937314904,0.0,train
0.49999,0,1.1992239577531012,0.0,train
0.22314355131420976,5,0.11848335655727643,1.0,train
0.05129329438755048,0,4.542466634399775,0.0,train
0.05129329438755048,0,0.2048630331419874,0.0,train
0.22314355131420976,0,1.7549417666721507,0.0,train
0.3566749439387324,3,0.01061298820983236,1.0,train
0.49999,0,1.5847046529796256,0.0,train
0.10536051565782635,0,3.0945030622703182,0.0,train
0.49999,0,3.5045229682189225,0.0,train
0.22314355131420976,0,3.117600008085129,0.0,train
0.3566749439387324,0,5.908074067861466,0.0,train
0.05129329438755048,0,2.7246940242442808,0.0,train
0.10536051565782635,0,1.5000267429675105,0.0,train
0.05129329438755048,0,0.2906666220465741,0.0,train
0.05129329438755048,0,1.907171625237305,0.0,train
