index,label,set
4211,1,train
1747,3,train
4838,3,train
20227,3,train
29441,4,train
11888,1,train
11472,1,train
17479,0,train
7835,2,train
27544,4,train
22629,4,train
6977,3,train
14819,4,train
9330,1,train
1773,3,train
7046,0,train
19632,4,train
21049,3,train
20839,2,train
2517,2,train
22730,2,train
4180,0,train
15223,4,train
4669,2,train
3822,2,train
26935,4,train
4343,0,train
25297,4,train
6452,3,train
7004,4,train
22922,4,train
19103,1,train
16616,2,train
29973,1,train
2847,1,train
12311,2,train
25986,1,train
20607,4,train
4594,4,train
18042,2,train
10830,1,train
26125,1,train
13577,4,train
13257,1,train
27077,2,train
24856,1,train
18061,3,train
13375,2,train
3272,3,train
16476,4,train
27274,3,train
634,4,train
27835,0,train
9985,1,train
5241,1,train
29969,3,train
11856,2,train
2402,3,train
1885,4,train
29918,2,train
18675,0,train
29802,4,train
7660,1,train
26810,2,train
23599,2,train
27504,1,train
9367,0,train
14083,1,train
13722,4,train
6178,3,train
12816,2,train
18079,4,train
859,4,train
22757,4,train
26490,1,train
22699,0,train
6027,3,train
22416,2,train
3482,1,train
13616,1,train
14847,4,train
19888,0,train
1647,3,train
16612,2,train
13437,3,train
10137,3,train
4025,1,train
15889,0,train
8563,4,train
19586,3,train
7344,0,train
16326,1,train
14152,1,train
27137,4,train
22670,2,train
26641,3,train
12656,2,train
2187,1,train
4405,4,train
8986,4,train
22407,3,train
17851,0,train
16186,0,train
10662,1,train
288,3,train
15140,1,train
7275,2,train
1740,4,train
28585,3,train
29702,1,train
16632,2,train
15853,4,train
26551,2,train
10895,2,train
5177,3,train
1360,4,train
23732,2,train
3519,2,train
18631,1,train
7243,0,train
10498,0,train
8056,2,train
15457,0,train
2919,1,train
5253,0,train
8137,2,train
23979,1,train
16833,0,train
26178,2,train
4723,2,train
12372,1,train
23152,3,train
17684,2,train
28155,3,train
11003,1,train
27784,1,train
15763,1,train
13976,4,train
18186,4,train
22814,2,train
4646,0,train
16363,4,train
19421,0,train
16468,1,train
26326,4,train
20925,0,train
17145,2,train
27947,2,train
6088,2,train
6819,0,train
28586,4,train
11207,4,train
9507,4,train
29156,0,train
26844,0,train
8962,3,train
9408,4,train
21902,3,train
19407,3,train
16019,4,train
25543,0,train
29060,4,train
13723,3,train
14281,1,train
15126,3,train
471,0,train
18228,4,train
3151,2,train
11178,3,train
14907,4,train
10814,1,train
18645,2,train
29227,0,train
24233,0,train
7090,1,train
4160,2,train
11503,1,train
18506,0,train
21391,2,train
24667,2,train
2371,3,train
12270,2,train
695,0,train
20144,2,train
29759,1,train
21312,1,train
17291,0,train
13354,1,train
28435,2,train
26136,4,train
20212,3,train
162,3,train
551,3,train
19439,4,train
20020,1,train
8660,4,train
9692,4,train
23450,2,train
8181,0,train
8577,3,train
10269,3,train
20725,4,train
14690,1,train
5786,0,train
15106,3,train
26455,4,train
7205,1,train
2060,1,train
14079,0,train
3999,0,train
8725,0,train
26925,2,train
20222,4,train
10872,0,train
27570,4,train
12983,4,train
25943,3,train
17016,1,train
322,0,train
19413,4,train
13317,1,train
25529,3,train
17095,2,train
13959,4,train
18571,1,train
19070,4,train
18140,1,train
29661,4,train
7231,0,train
1305,3,train
8493,2,train
25458,0,train
21663,0,train
3722,1,train
25695,4,train
7757,0,train
9225,2,train
18582,2,train
2346,2,train
3054,1,train
6463,2,train
4880,3,train
352,0,train
4909,1,train
15156,4,train
24893,0,train
29481,3,train
3820,2,train
3422,4,train
25370,1,train
10561,1,train
18456,3,train
3346,2,train
26368,3,train
12088,1,train
1064,1,train
27625,4,train
3273,3,train
16021,0,train
26179,2,train
1484,4,train
9584,4,train
26566,2,train
11886,4,train
14934,3,train
2732,3,train
1054,2,train
14842,1,train
26947,3,train
19115,1,train
22257,4,train
16657,0,train
28708,0,train
2438,0,train
19971,3,train
17116,1,train
26862,4,train
5696,0,train
24643,1,train
24640,3,train
20278,2,train
7098,4,train
1573,4,train
8059,3,train
14628,2,train
14874,0,train
24025,2,train
23244,2,train
26762,4,train
24652,4,train
27860,2,train
14607,1,train
6863,4,train
3790,2,train
2515,4,train
24487,2,train
25802,1,train
17090,4,train
5064,4,train
26517,2,train
13549,3,train
10475,0,train
10746,3,train
12560,0,train
2640,3,train
29092,1,train
15061,3,train
2699,3,train
22254,2,train
6483,2,train
17121,4,train
16012,4,train
26741,4,train
2783,3,train
8224,4,train
19749,0,train
28457,2,train
1832,0,train
1025,0,train
19767,3,train
21273,3,train
16383,0,train
4844,2,train
1575,2,train
23132,3,train
6040,0,train
11819,4,train
1389,4,train
15276,3,train
16239,3,train
11143,4,train
9859,1,train
19252,1,train
24245,3,train
26662,3,train
9634,2,train
7652,2,train
13185,4,train
11360,3,train
19573,1,train
23176,0,train
11739,0,train
8811,1,train
1822,1,train
17008,2,train
23560,4,train
19161,3,train
10107,4,train
9108,4,train
7491,2,train
10431,1,train
28712,2,train
19976,2,train
20921,0,train
4650,4,train
26441,2,train
4246,2,train
18955,4,train
28040,1,train
18147,3,train
28289,2,train
16850,3,train
26518,3,train
2274,4,train
22015,2,train
6707,2,train
5183,3,train
2579,0,train
29479,0,train
20964,3,train
12654,4,train
21979,3,train
7989,2,train
9171,0,train
7940,1,train
18259,2,train
8060,0,train
2776,3,train
16622,1,train
15081,0,train
23493,0,train
27201,3,train
25060,1,train
572,4,train
12303,0,train
25272,2,train
11434,1,train
26567,0,train
10197,4,train
18915,4,train
15827,1,train
10179,3,train
27310,3,train
24551,0,train
5374,0,train
17943,4,train
15644,3,train
14886,4,train
16016,3,train
6562,2,train
14603,3,train
1324,1,train
26384,4,train
6469,0,train
8700,3,train
11456,0,train
25372,1,train
3736,1,train
22555,3,train
9225,2,train
15786,0,train
6177,0,train
13732,1,train
13005,3,train
22279,4,train
3884,3,train
18166,0,train
23108,0,train
15536,3,train
13442,1,train
14041,2,train
9692,4,train
5312,3,train
8698,1,train
15388,1,train
2894,4,train
27460,4,train
2046,1,train
8950,1,train
12629,3,train
29605,0,train
9308,2,train
25996,4,train
6458,2,train
19943,0,train
1032,3,train
15632,0,train
14958,2,train
28748,2,train
4666,1,train
23221,2,train
20765,1,train
25288,0,train
21961,2,train
19220,1,train
27251,2,train
23328,4,train
487,1,train
8905,4,train
28658,3,train
24681,3,train
11370,3,train
24686,2,train
2790,0,train
6031,0,train
4103,3,train
4389,3,train
29394,1,train
4684,2,train
10147,4,train
538,0,train
22192,4,train
10320,0,train
29537,1,train
8899,2,train
28088,4,train
4003,3,train
23795,0,train
9926,3,train
15545,4,train
28359,0,train
2392,1,train
13962,3,train
28569,3,train
6787,0,train
16601,3,train
14990,2,train
20406,0,train
18255,3,train
24795,1,train
959,4,train
19835,3,train
26486,1,train
7339,2,train
14698,2,train
22215,1,train
4216,3,train
5545,2,train
18121,4,train
10719,2,train
7789,3,train
16729,3,train
11341,2,train
11663,1,train
27044,2,train
4127,1,train
23753,4,train
14808,2,train
4661,4,train
11261,3,train
6125,2,val
18209,1,val
1301,1,val
25761,2,val
517,2,val
28432,2,val
12621,1,val
1586,4,val
4502,0,val
5013,0,val
1835,4,val
902,2,val
24964,1,val
14944,0,val
28963,0,val
28523,4,val
7121,0,val
6354,2,val
24728,4,val
6123,0,val
11128,3,val
11006,3,val
24526,1,val
14921,4,val
19160,1,val
8422,0,val
8275,2,val
2155,1,val
15289,4,val
26849,4,val
22947,3,val
4353,1,val
26411,0,val
24125,0,val
21702,2,val
23105,3,val
27165,0,val
5103,4,val
10719,2,val
15008,0,val
6296,3,val
13864,4,val
20069,4,val
20875,2,val
11024,4,val
11226,4,val
11961,2,val
5940,4,val
27163,2,val
17288,4,val
24099,1,val
10936,0,val
13482,4,val
5268,4,val
2907,4,val
17165,1,val
14574,3,val
18919,2,val
3524,4,val
18228,4,val
28334,2,val
1985,1,val
29342,4,val
2879,0,val
25195,0,val
5434,1,val
24972,4,val
5900,2,val
19554,1,val
11754,4,val
6397,1,val
21448,0,val
13280,2,val
20581,3,val
13379,3,val
22569,1,val
2085,0,val
12844,1,val
22737,2,val
28509,1,val
25899,0,val
26829,0,val
23291,2,val
13755,4,val
13361,0,val
6524,1,val
29242,0,val
24375,3,val
11877,0,val
23368,0,val
8524,1,val
11383,0,val
27353,4,val
1200,1,val
14671,3,val
2249,2,val
23797,1,val
6922,2,val
7919,1,val
9485,0,val
29238,2,val
24771,4,val
8207,1,val
21238,4,val
16037,2,val
13710,4,val
15601,1,val
15044,1,val
950,4,test
132,4,test
2807,1,test
3048,1,test
2914,0,test
1560,0,test
3567,0,test
1752,0,test
528,4,test
989,3,test
4120,1,test
2989,2,test
2805,2,test
1814,3,test
4864,1,test
4042,4,test
2400,3,test
3687,4,test
3586,1,test
2110,4,test
667,0,test
3768,2,test
473,3,test
435,4,test
1855,3,test
2825,0,test
2136,1,test
3064,2,test
1505,0,test
4669,4,test
3526,0,test
4743,1,test
734,1,test
2222,4,test
285,1,test
4447,0,test
2945,4,test
1884,0,test
2371,4,test
2277,4,test
2909,2,test
1126,4,test
3030,3,test
3265,1,test
2629,1,test
112,1,test
4824,3,test
3063,2,test
4260,4,test
329,2,test
3886,3,test
2432,0,test
1650,1,test
310,3,test
2614,1,test
1017,0,test
827,1,test
4188,1,test
2125,3,test
593,4,test
1906,1,test
1439,0,test
4027,2,test
3033,1,test
1835,2,test
3386,4,test
3148,4,test
1749,1,test
4397,2,test
2948,2,test
152,3,test
3701,2,test
3522,2,test
635,3,test
4669,4,test
631,0,test
2234,4,test
1531,0,test
3911,1,test
4321,3,test
110,3,test
3901,1,test
766,2,test
1765,0,test
3027,4,test
3521,2,test
3148,4,test
4822,1,test
4139,4,test
1483,2,test
3969,3,test
823,0,test
4771,4,test
1880,4,test
144,0,test
1222,3,test
4041,4,test
2886,0,test
4943,0,test
1294,0,test
720,2,test
249,0,test
2858,1,test
3769,1,test
1308,1,test
169,4,test
2191,2,test
92,2,test
