theta,m,t,delta,set
1.2039728043259361,1,1.6182406610481925,1.0,train
0.3566749439387324,0,4.821713748551771,0.0,train
0.6931471805599453,2,0.7890619511464595,1.0,train
1.2039728043259361,0,5.128132671837187,0.0,train
2.3025850929940455,2,1.1423666515095041,1.0,train
1.2039728043259361,1,1.6823761185970656,1.0,train
1.2039728043259361,1,0.2062359911063132,0.0,train
0.3566749439387324,0,3.0190718872447335,0.0,train
0.6931471805599453,0,2.491421340537249,0.0,train
1.2039728043259361,3,0.3515552913375265,1.0,train
2.3025850929940455,3,0.3016457560894777,1.0,train
0.10536051565782635,0,0.7378588788551887,0.0,train
0.6931471805599453,0,0.6241272269979601,0.0,train
1.2039728043259361,3,0.3909948726169592,1.0,train
0.6931471805599453,1,1.1822376082963832,1.0,train
0.3566749439387324,0,5.409943569216582,0.0,train
0.10536051565782635,0,5.864961595353073,0.0,train
1.2039728043259361,1,0.6504985641223847,1.0,train
0.3566749439387324,0,3.024527978362376,0.0,train
0.10536051565782635,0,0.6478815293443916,0.0,train
0.10536051565782635,0,4.388637342535206,0.0,train
0.10536051565782635,0,2.7591545464709295,0.0,train
0.3566749439387324,0,5.25787755445343,0.0,train
1.2039728043259361,0,0.21490075559119393,0.0,train
2.3025850929940455,4,0.2623910005924332,1.0,train
0.10536051565782635,0,0.2700477398792853,0.0,train
0.10536051565782635,0,0.23128350964321243,0.0,train
0.3566749439387324,1,0.5593925136844347,1.0,train
2.3025850929940455,4,0.24485046164240512,1.0,train
0.6931471805599453,1,1.3058688669773015,0.0,train
0.3566749439387324,1,1.0010009883416187,1.0,train
2.3025850929940455,3,0.5990592714200136,1.0,train
0.10536051565782635,0,3.9265223845529595,0.0,train
2.3025850929940455,1,0.24935538580424602,1.0,train
0.3566749439387324,0,5.1196323776507615,0.0,train
1.2039728043259361,1,0.9830733349569146,1.0,train
0.3566749439387324,0,1.1214078726925716,0.0,train
0.10536051565782635,0,5.865132252257048,0.0,train
1.2039728043259361,6,0.07434243293922739,1.0,train
0.6931471805599453,0,1.203009739715387,0.0,train
0.10536051565782635,0,4.7170674080511095,0.0,train
0.3566749439387324,0,5.337740259253745,0.0,train
0.3566749439387324,1,0.20427274578444898,1.0,train
0.3566749439387324,1,0.1400864514834336,1.0,train
2.3025850929940455,3,0.36478222465927806,1.0,train
0.6931471805599453,0,3.0278477973455606,0.0,train
2.3025850929940455,4,0.009680801230500772,1.0,train
0.3566749439387324,0,1.0715232355214908,0.0,train
1.2039728043259361,3,0.008097011692484035,1.0,train
0.6931471805599453,1,1.9269404324467714,1.0,train
0.3566749439387324,2,0.2214548062065881,1.0,train
0.10536051565782635,0,1.938352550626153,0.0,train
2.3025850929940455,2,0.01881423571859529,1.0,train
2.3025850929940455,2,0.5233926271125217,1.0,train
0.3566749439387324,0,4.601047396638101,0.0,train
1.2039728043259361,2,0.3064060315165805,1.0,train
0.6931471805599453,0,3.2222107699219746,0.0,train
0.10536051565782635,0,1.7001380974189455,0.0,train
1.2039728043259361,1,0.7183831043897241,1.0,train
0.10536051565782635,0,2.540677104969027,0.0,train
1.2039728043259361,1,1.7903409115403388,0.0,train
0.3566749439387324,1,0.46628483389687375,1.0,train
2.3025850929940455,0,3.516390778489642,0.0,train
1.2039728043259361,1,0.09398397333828583,1.0,train
0.3566749439387324,0,2.7343700311899015,0.0,train
2.3025850929940455,3,0.06489231221896041,1.0,train
0.3566749439387324,0,5.341655033042389,0.0,train
1.2039728043259361,0,4.6058159046623315,0.0,train
1.2039728043259361,2,0.7325050259218803,1.0,train
0.6931471805599453,0,1.6607470531474946,0.0,train
1.2039728043259361,3,0.6642273639655943,1.0,train
1.2039728043259361,0,4.435327470590503,0.0,train
0.3566749439387324,2,0.15202558012923523,1.0,train
1.2039728043259361,2,1.3625425430744658,0.0,train
1.2039728043259361,1,1.10081897292769,1.0,train
0.6931471805599453,0,5.97655830709864,0.0,train
2.3025850929940455,1,2.231378470430662,0.0,train
0.6931471805599453,2,0.5069141478157779,1.0,train
0.6931471805599453,0,0.12117457295205214,0.0,train
2.3025850929940455,3,0.11950958130047963,1.0,train
2.3025850929940455,1,0.1758359288877546,1.0,train
